# Beam aperture imposed, layer thicknesses re-inverted at each value.
# Study 05_BS17_resolved.json. Generated by tools/aperture_scan.py.
aperture_deg,rms_nominal_pct,rms_inverted_pct,qwot_dispersion_pct,layers_at_bound,total_nm
0.000,1.86752,1.23929,1.4812,2,8393.064
0.100,1.86518,1.23693,1.4790,2,8393.098
0.200,1.85818,1.22989,1.4725,2,8393.192
0.300,1.84664,1.21823,1.4618,2,8393.354
0.400,1.83072,1.20210,1.4476,2,8393.575
0.500,1.81066,1.18168,1.4304,2,8393.863
0.600,1.78679,1.15722,1.4109,2,8394.224
0.700,1.75946,1.12905,1.3906,2,8394.640
0.800,1.72914,1.09757,1.3702,2,8395.145
0.900,1.69635,1.06329,1.3514,2,8395.710
1.000,1.66168,1.02683,1.3361,2,8396.347
1.100,1.62580,0.98888,1.2951,1,8396.818
1.200,1.58947,0.94994,1.2352,1,8397.079
1.300,1.55351,0.91094,1.1919,1,8397.315
1.400,1.51883,0.87310,1.1697,1,8397.499
1.500,1.48641,0.83794,1.1709,1,8397.608
1.600,1.45730,0.80723,1.1932,1,8397.654
1.700,1.43259,0.78325,1.2025,2,8398.317
1.800,1.41339,0.76833,1.2301,2,8398.898
1.900,1.40075,0.76448,1.2862,2,8399.364
2.000,1.39569,0.77328,1.3842,2,8399.603
2.100,1.39905,0.79560,1.5339,2,8399.385
2.200,1.41151,0.83153,1.6394,1,8397.019
2.300,1.43351,0.87986,1.7903,1,8392.350
2.400,1.46525,0.93894,1.8172,2,8382.013
2.500,1.50668,1.00859,1.8893,2,8380.063
2.600,1.55754,1.08769,1.9637,3,8377.726
2.700,1.61742,1.17518,1.9937,4,8377.178
2.800,1.68576,1.27008,2.0174,4,8376.877
2.900,1.76194,1.37143,2.0422,4,8376.440
3.000,1.84532,1.47840,2.0552,4,8375.759
