# Nominal and retrieved designs of the joint inversion, with the uncertainty the
# data imply on each quarter wave. Generated by tools/article_tables.py.
stack,run,layer,material,qwot_nominal,qwot_retrieved,qwot_sigma,departure_pct,departure_in_sigma,d_nominal_nm,d_retrieved_nm,d_sigma_nm
AR6,260317-034,1,Nb2O5,2.550000,2.591003,0.00965885,1.6080,4.24514,427.1452,434.0136,1.61793
AR6,260317-034,2,SiO2,2.670000,2.665647,0.00527658,-0.1630,-0.824886,680.8909,679.7809,1.34561
AR6,260317-034,3,Nb2O5,0.410000,0.417517,0.00487537,1.8335,1.5419,68.6783,69.9375,0.816664
AR6,260317-034,4,SiO2,1.320000,1.310420,0.00804782,-0.7257,-1.19032,336.6202,334.1773,2.05232
AR6,260317-034,5,Nb2O5,4.840000,4.838730,0.00666534,-0.0262,-0.190586,810.7384,810.5256,1.1165
AR6,260317-034,6,SiO2,2.540000,2.538636,0.00966879,-0.0537,-0.141098,647.7389,647.3910,2.46569
BS45,260317-035,1,Nb2O5,1.691000,1.718529,0.00203218,1.6280,13.5467,283.2559,287.8673,0.340406
BS45,260317-035,2,SiO2,2.358395,2.349896,0.00500251,-0.3604,-1.69899,601.4268,599.2594,1.27572
BS45,260317-035,3,Nb2O5,3.070991,3.074000,0.00275741,0.0980,1.09121,514.4153,514.9194,0.461887
BS45,260317-035,4,SiO2,2.976127,2.962516,0.00342937,-0.4573,-3.9689,758.9579,755.4870,0.874541
BS45,260317-035,5,Nb2O5,3.047701,3.027745,0.00975294,-0.6548,-2.04613,510.5141,507.1713,1.63369
BS45,260317-035,6,SiO2,1.409445,1.478343,0.0313084,4.8883,2.20062,359.4300,377.0001,7.98412
BS45,260317-035,7,Nb2O5,0.929705,0.883846,0.0280075,-4.9326,-1.63737,155.7330,148.0513,4.69148
BS45,260317-035,8,SiO2,1.395330,1.373364,0.0259331,-1.5742,-0.847022,355.8305,350.2289,6.61334
BS45,260317-035,9,Nb2O5,0.861012,0.896479,0.00748505,4.1192,4.73832,144.2263,150.1673,1.25381
BS45,260317-035,10,SiO2,1.903456,1.913783,0.0223417,0.5425,0.462213,485.4104,488.0438,5.69746
BS45,260317-035,11,Nb2O5,1.575825,1.545236,0.0209062,-1.9411,-1.46316,263.9632,258.8393,3.50195
BS45,260317-035,12,SiO2,2.603672,2.601812,0.0073845,-0.0714,-0.251914,663.9762,663.5018,1.88316
BS45,260317-035,13,Nb2O5,1.554292,1.547771,0.00636692,-0.4196,-1.02427,260.3562,259.2638,1.06651
BS45,260317-035,14,SiO2,0.893425,0.906366,0.00623621,1.4484,2.07509,227.8370,231.1371,1.59033
BS45,260317-035,15,Nb2O5,3.461199,3.463735,0.00288144,0.0733,0.880109,579.7783,580.2031,0.482665
BS45,260317-035,16,SiO2,3.039678,3.015229,0.00386696,-0.8043,-6.32258,775.1644,768.9295,0.986133
BS17,260319-037,1,SiO2,1.520588,1.535751,0.00851937,0.9972,1.77985,387.7732,391.6401,2.17257
BS17,260319-037,2,Nb2O5,1.698967,1.660826,0.0162745,-2.2449,-2.34358,284.5904,278.2016,2.72611
BS17,260319-037,3,SiO2,1.739311,1.757248,0.0313854,1.0312,0.571494,443.5509,448.1250,8.00375
BS17,260319-037,4,Nb2O5,1.553883,1.548808,0.0415501,-0.3266,-0.12215,260.2877,259.4376,6.95997
BS17,260319-037,5,SiO2,1.661250,1.655637,0.0516409,-0.3379,-0.108698,423.6442,422.2127,13.1692
BS17,260319-037,6,Nb2O5,1.580353,1.589434,0.0469266,0.5746,0.193518,264.7217,266.2428,7.86058
BS17,260319-037,7,SiO2,1.819601,1.809211,0.0358747,-0.5710,-0.289614,464.0261,461.3765,9.1486
BS17,260319-037,8,Nb2O5,1.835076,1.838809,0.0162368,0.2034,0.229935,307.3898,308.0152,2.7198
BS17,260319-037,9,SiO2,2.133498,2.122518,0.0081856,-0.5146,-1.34132,544.0746,541.2747,2.08745
BS17,260319-037,10,Nb2O5,2.066467,2.073326,0.00490469,0.3319,1.39845,346.1496,347.2985,0.821574
BS17,260319-037,11,SiO2,2.290912,2.286779,0.00391681,-0.1804,-1.05517,584.2176,583.1637,0.998847
BS17,260319-037,12,Nb2O5,2.286649,2.305357,0.0029452,0.8182,6.35215,383.0318,386.1656,0.493345
BS17,260319-037,13,SiO2,10.623639,10.575181,0.00348366,-0.4561,-13.91,2709.1905,2696.8330,0.888387
BS17,260319-037,14,Nb2O5,2.493294,2.508961,0.00257681,0.6283,6.07982,417.6465,420.2708,0.431637
BS17,260319-037,15,SiO2,0.774866,0.803779,0.00376714,3.7314,7.67506,197.6027,204.9759,0.960677
BS17,260319-037,16,Nb2O5,1.178906,1.108432,0.00508364,-5.9779,-13.8629,197.4761,185.6711,0.85155
BS17,260319-037,17,SiO2,0.746690,0.790182,0.00314338,5.8246,13.8359,190.4174,201.5084,0.80161
WIT_SiO2,witness,1,SiO2,6.594506,6.593565,0.0093566,-0.0143,-0.10055,1681.7000,1681.4601,2.38608
WIT_Nb2O5,witness,1,Nb2O5,10.243694,10.240583,0.00470069,-0.0304,-0.661838,1715.9000,1715.3789,0.787403
