# Per-layer departure of the unregularized in situ solution from the nominal design, for Fig. 10(b). Written by tools/plot_insitu_convergence.py.
stack,layer,material,d_nominal_nm,d_retrieved_nm,departure_pct
AR6,1,Nb2O5,427.1452182069951,432.7703448515823,1.3169120020117568
AR6,2,SiO2,680.8908534512071,676.0047789463752,-0.7176002556160228
AR6,3,Nb2O5,68.67825077053647,69.65305725852396,1.4193816485577893
AR6,4,SiO2,336.6201972118327,337.2232566511929,0.1791512940564014
AR6,5,Nb2O5,810.7383749497476,808.3187647318979,-0.29844525590634396
AR6,6,SiO2,647.73886433186,645.3042195843673,-0.3758682520932317
BS45,1,Nb2O5,283.2559074462858,288.17005780037726,1.7348800942565876
BS45,2,SiO2,601.4268106086365,596.1979720020836,-0.8694056391103361
BS45,3,Nb2O5,514.4153414928306,514.9024802929877,0.09469756456783587
BS45,4,SiO2,758.9579224753485,751.4405085850573,-0.9904915236635375
BS45,5,Nb2O5,510.5140818332067,505.11324171608186,-1.0579218692128851
BS45,6,SiO2,359.43004080244816,381.20516110002217,6.058236047537874
BS45,7,Nb2O5,155.73295886005272,141.27678140781225,-9.282670513716567
BS45,8,SiO2,355.8304998299898,365.9088340954236,2.8323413170734564
BS45,9,Nb2O5,144.22633671327108,147.50743467425485,2.274964500767119
BS45,10,SiO2,485.41040462427753,464.8514988175424,-4.23536570516002
BS45,11,Nb2O5,263.96318175726987,273.77903444968234,3.718644633340853
BS45,12,SiO2,663.9761985719143,648.9589828937646,-2.2617099393696396
BS45,13,Nb2O5,260.356233528387,259.4608340440174,-0.34391321161587024
BS45,14,SiO2,227.83704522271339,231.8764706467286,1.7729449660245642
BS45,15,Nb2O5,579.7782753383659,578.20939885373,-0.27059939141739614
BS45,16,SiO2,775.1643998639919,769.1857444068763,-0.7712758039668182
BS17,1,SiO2,387.7732063923836,353.75929420850446,-8.77159938416705
BS17,2,Nb2O5,284.5904431143074,298.1793651238071,4.774904547318768
BS17,3,SiO2,443.55091805508334,439.87526360220795,-0.8286882752926514
BS17,4,Nb2O5,260.28772278554516,258.6855526280182,-0.6155381208075786
BS17,5,SiO2,423.644168650119,397.9301322533543,-6.06972508997321
BS17,6,Nb2O5,264.72165765846245,296.2947627839088,11.926906700690594
BS17,7,SiO2,464.026096565794,405.7603357921796,-12.556569814679142
BS17,8,Nb2O5,307.3897797829097,327.04617619509327,6.3946161209607
BS17,9,SiO2,544.0746344780687,528.2864600087422,-2.901839833880893
BS17,10,Nb2O5,346.14960691472726,348.4512410528319,0.6649246719126408
BS17,11,SiO2,584.2176130567834,576.9957691389274,-1.2361564862910306
BS17,12,Nb2O5,383.0318376736499,383.7969207888206,0.19974400034667722
BS17,13,SiO2,2709.190496429786,2684.136647919769,-0.9247724935929482
BS17,14,Nb2O5,417.6465136016438,419.28429749636024,0.3921459515111832
BS17,15,SiO2,197.6026861611697,197.05887389303587,-0.2752048966026065
BS17,16,Nb2O5,197.4761022021709,190.23527063159875,-3.66668750791889
BS17,17,SiO2,190.41737504250253,195.42548695676135,2.6300708709701373
