# How the retrieved coating depends on the search window declared on the
# thicknesses. Generated by tools/search_window_scan.py.
# Study: 07_joint_campaign. Measured photometric repeatability: 0.00136.
# 'excess_over_best_in_sigma' is how much residual a window costs against the
# loosest one, in units of that repeatability. Below one, it is not a difference.
window_pct,rms_components_pct,excess_over_best_in_sigma,rms_pct_AR6_alone_a,rms_pct_BS17_alone_p,rms_pct_BS17_alone_s,rms_pct_BS45_alone_p,rms_pct_BS45_alone_s,rms_pct_witness_Nb2O5_a,rms_pct_witness_SiO2_a,dispersion_pct_AR6,dispersion_pct_BS17,dispersion_pct_BS45,dispersion_pct_WIT_Nb2O5,dispersion_pct_WIT_SiO2,max_departure_pct_AR6,max_departure_pct_BS17,max_departure_pct_BS45,max_departure_pct_WIT_Nb2O5,max_departure_pct_WIT_SiO2,total_departure_pct_AR6,total_departure_pct_BS17,total_departure_pct_BS45,total_departure_pct_WIT_Nb2O5,total_departure_pct_WIT_SiO2,layers_at_bound
1,0.6000,0.630,0.1422,0.5139,1.0022,0.3361,0.6310,0.1543,0.0977,0.6159,0.7708,0.7251,0.0304,0.0143,1.0000,1.0000,1.0000,0.0304,0.0143,+0.2240,-0.1021,-0.0421,-0.0304,-0.0143,14
1.5,0.5717,0.421,0.1117,0.5068,0.9950,0.2684,0.5501,0.1543,0.0977,0.8925,0.8897,1.0834,0.0304,0.0143,1.5000,1.5000,1.5000,0.0304,0.0143,+0.2231,-0.0961,-0.0454,-0.0304,-0.0143,10
2,0.5521,0.278,0.1063,0.5002,0.9887,0.2368,0.4785,0.1543,0.0977,1.1108,1.0112,1.3519,0.0304,0.0143,2.0000,2.0000,2.0000,0.0304,0.0143,+0.2233,-0.0905,-0.0499,-0.0304,-0.0143,9
2.5,0.5389,0.180,0.1053,0.4947,0.9829,0.2386,0.4161,0.1543,0.0977,1.2798,1.2359,1.6314,0.0304,0.0143,2.5000,2.5000,2.5000,0.0304,0.0143,+0.2242,-0.0850,-0.0542,-0.0304,-0.0143,8
3,0.5320,0.130,0.1053,0.4897,0.9778,0.2622,0.3737,0.1543,0.0977,1.2957,1.3841,1.8717,0.0304,0.0143,2.5445,3.0000,3.0000,0.0304,0.0143,+0.2243,-0.0845,-0.0553,-0.0304,-0.0143,5
3.5,0.5282,0.102,0.1053,0.4856,0.9732,0.2646,0.3621,0.1543,0.0977,1.2957,1.5414,1.9423,0.0304,0.0143,2.5445,3.5000,3.5000,0.0304,0.0143,+0.2243,-0.0842,-0.0508,-0.0304,-0.0143,4
4,0.5252,0.080,0.1053,0.4824,0.9691,0.2632,0.3561,0.1543,0.0977,1.2957,1.7103,2.0377,0.0304,0.0143,2.5445,4.0000,4.0000,0.0304,0.0143,+0.2243,-0.0839,-0.0470,-0.0304,-0.0143,4
5,0.5210,0.049,0.1053,0.4786,0.9626,0.2617,0.3491,0.1543,0.0977,1.2957,2.0704,2.2762,0.0304,0.0143,2.5445,5.0000,5.0000,0.0304,0.0143,+0.2243,-0.0834,-0.0389,-0.0304,-0.0143,4
6,0.5187,0.032,0.1053,0.4785,0.9585,0.2603,0.3450,0.1543,0.0977,1.2957,2.4499,2.4935,0.0304,0.0143,2.5445,6.0000,6.0000,0.0304,0.0143,+0.2243,-0.0830,-0.0315,-0.0304,-0.0143,3
8,0.5173,0.022,0.1053,0.4813,0.9566,0.2568,0.3379,0.1543,0.0977,1.2957,2.6257,2.9992,0.0304,0.0143,2.5445,6.5143,8.0000,0.0304,0.0143,+0.2243,-0.0849,-0.0189,-0.0304,-0.0143,1
10,0.5161,0.013,0.1053,0.4813,0.9566,0.2546,0.3307,0.1543,0.0977,1.2957,2.6257,3.6230,0.0304,0.0143,2.5445,6.5142,10.0000,0.0304,0.0143,+0.2243,-0.0849,-0.0062,-0.0304,-0.0143,1
20,0.5144,0.000,0.1053,0.4813,0.9566,0.2616,0.3109,0.1543,0.0977,1.2957,2.6255,5.7526,0.0304,0.0143,2.5445,6.5141,15.5471,0.0304,0.0143,+0.2243,-0.0849,+0.0286,-0.0304,-0.0143,0
50,0.5144,0.000,0.1053,0.4813,0.9566,0.2616,0.3109,0.1543,0.0977,1.2957,2.6257,5.7542,0.0304,0.0143,2.5445,6.5143,15.5509,0.0304,0.0143,+0.2243,-0.0849,+0.0286,-0.0304,-0.0143,0
