# How the retrieved coating depends on the search window declared on the
# thicknesses. Generated by tools/search_window_scan.py.
# Study: 08_joint_campaign. Measured photometric repeatability: 0.00136.
# 'excess_over_best_in_sigma' is how much residual a window costs against the
# loosest one, in units of that repeatability. Below one, it is not a difference.
window_pct,rms_components_pct,excess_over_best_in_sigma,rms_pct_AR6_alone_a,rms_pct_BIFACE_BSplusAR_p,rms_pct_BIFACE_BSplusAR_s,rms_pct_BS45_alone_p,rms_pct_BS45_alone_s,rms_pct_witness_Nb2O5_a,rms_pct_witness_SiO2_a,dispersion_pct_AR6,dispersion_pct_BS45,dispersion_pct_WIT_Nb2O5,dispersion_pct_WIT_SiO2,max_departure_pct_AR6,max_departure_pct_BS45,max_departure_pct_WIT_Nb2O5,max_departure_pct_WIT_SiO2,total_departure_pct_AR6,total_departure_pct_BS45,total_departure_pct_WIT_Nb2O5,total_departure_pct_WIT_SiO2,layers_at_bound
1,0.6436,0.936,0.2023,0.7287,0.8480,0.4451,0.7630,0.1530,0.0905,0.6497,0.7070,0.0126,0.0305,1.0000,1.0000,0.0126,0.0305,+0.1905,+0.0562,-0.0126,-0.0305,7
1.5,0.5980,0.601,0.1959,0.6928,0.7895,0.4009,0.6970,0.1530,0.0905,0.8254,1.0474,0.0126,0.0305,1.5000,1.5000,0.0126,0.0305,+0.1893,+0.0471,-0.0126,-0.0305,7
2,0.5652,0.359,0.1904,0.6691,0.7401,0.3867,0.6449,0.1530,0.0905,1.0229,1.3995,0.0126,0.0305,2.0000,2.0000,0.0126,0.0305,+0.1883,+0.0375,-0.0126,-0.0305,7
2.5,0.5477,0.230,0.1853,0.6542,0.7057,0.4075,0.6110,0.1530,0.0905,1.2308,1.7121,0.0126,0.0305,2.5000,2.5000,0.0126,0.0305,+0.1866,+0.0273,-0.0126,-0.0305,5
3,0.5393,0.169,0.1813,0.6436,0.6919,0.4189,0.5940,0.1530,0.0905,1.2572,1.8055,0.0126,0.0305,2.5407,3.0000,0.0126,0.0305,+0.1886,+0.0349,-0.0126,-0.0305,3
3.5,0.5334,0.125,0.1775,0.6349,0.6794,0.4368,0.5793,0.1530,0.0905,1.1961,1.9867,0.0126,0.0305,2.3640,3.5000,0.0126,0.0305,+0.1906,+0.0423,-0.0126,-0.0305,4
4,0.5304,0.103,0.1739,0.6264,0.6688,0.4631,0.5674,0.1530,0.0905,1.1276,2.2291,0.0126,0.0305,2.1578,4.0000,0.0126,0.0305,+0.1922,+0.0483,-0.0126,-0.0305,4
5,0.5285,0.089,0.1746,0.6322,0.6613,0.4616,0.5621,0.1530,0.0905,1.1289,2.4592,0.0126,0.0305,2.1610,5.0000,0.0126,0.0305,+0.1934,+0.0592,-0.0126,-0.0305,1
6,0.5271,0.079,0.1748,0.6302,0.6599,0.4603,0.5604,0.1530,0.0905,1.1379,2.5983,0.0126,0.0305,2.1865,6.0000,0.0126,0.0305,+0.1936,+0.0655,-0.0126,-0.0305,1
8,0.5244,0.059,0.1751,0.6263,0.6571,0.4579,0.5574,0.1530,0.0905,1.1587,3.0092,0.0126,0.0305,2.2445,8.0000,0.0126,0.0305,+0.1941,+0.0782,-0.0126,-0.0305,1
10,0.5219,0.041,0.1756,0.6224,0.6543,0.4558,0.5548,0.1530,0.0905,1.1836,3.5508,0.0126,0.0305,2.3124,10.0000,0.0126,0.0305,+0.1946,+0.0910,-0.0126,-0.0305,1
20,0.5163,0.000,0.1777,0.6114,0.6429,0.4573,0.5526,0.1530,0.0905,1.3214,6.2619,0.0126,0.0305,2.6683,17.5407,0.0126,0.0305,+0.1976,+0.1389,-0.0126,-0.0305,0
50,0.5163,0.000,0.1777,0.6114,0.6429,0.4573,0.5526,0.1530,0.0905,1.3214,6.2618,0.0126,0.0305,2.6683,17.5406,0.0126,0.0305,+0.1976,+0.1389,-0.0126,-0.0305,0
