# NOT LI 1980, AND NOT SILICON. A dispersionless table, flat at 3.5545, distributed by an earlier revision of this deposit under the name of Li's determination. Li's formula gives 3.4804 at 1500 nm and 3.4271 at 4000 nm, so this table is too high by 0.07 to 0.13 over the band. It is kept here, under a name that cannot be mistaken, for the sole purpose of the counter-experiment substrate_flat_table.json. Do not use it for anything else.
Wavelength_nm,n,k
1200,3.5545,0
1250,3.5545,0
1300,3.5545,0
1350,3.5545,0
1400,3.5545,0
1450,3.5545,0
1500,3.5545,0
1550,3.5545,0
1600,3.5545,0
1650,3.5545,0
1700,3.5545,0
1750,3.5545,0
1800,3.5545,0
1850,3.5545,0
1900,3.5545,0
1950,3.5545,0
2000,3.5545,0
2050,3.5545,0
2100,3.5545,0
2150,3.5545,0
2200,3.5545,0
2250,3.5545,0
2300,3.5545,0
2350,3.5545,0
2400,3.5545,0
2450,3.5545,0
2500,3.5545,0
2550,3.5545,0
2600,3.5545,0
2650,3.5545,0
2700,3.5545,0
2750,3.5545,0
2800,3.5545,0
2850,3.5545,0
2900,3.5545,0
2950,3.5545,0
3000,3.5545,0
3050,3.5545,0
3100,3.5545,0
3150,3.5545,0
3200,3.5545,0
3250,3.5545,0
3300,3.5545,0
3350,3.5545,0
3400,3.5545,0
3450,3.5545,0
3500,3.5545,0
3550,3.5545,0
3600,3.5545,0
3650,3.5545,0
3700,3.5545,0
3750,3.5545,0
3800,3.5545,0
3850,3.5545,0
3900,3.5545,0
3950,3.5545,0
4000,3.5545,0
4050,3.5545,0
4100,3.5545,0
4150,3.5545,0
4200,3.5545,0
4250,3.5545,0
4300,3.5545,0
4350,3.5545,0
4400,3.5545,0
4450,3.5545,0
4500,3.5545,0
4550,3.5545,0
4600,3.5545,0
4650,3.5545,0
4700,3.5545,0
4750,3.5545,0
4800,3.5545,0
4850,3.5545,0
4900,3.5545,0
4950,3.5545,0
5000,3.5545,0
5050,3.5545,0
5100,3.5545,0
5150,3.5545,0
5200,3.5545,0
5250,3.5545,0
5300,3.5545,0
5350,3.5545,0
5400,3.5545,0
5450,3.5545,0
5500,3.5545,0
5550,3.5545,0
5600,3.5545,0
5650,3.5545,0
5700,3.5545,0
5750,3.5545,0
5800,3.5545,0
5850,3.5545,0
5900,3.5545,0
5950,3.5545,0
6000,3.5545,0
