# Sapphire, ordinary ray. I. H. Malitson, J. Opt. Soc. Am. 52, 1377 (1962). Tabulated here from the Sellmeier coefficients so that the deposit carries no substrate database. Substrate of the single-layer witnesses.
Wavelength_nm,n,k
250,1.845229285,0
260,1.837290287,0
270,1.830399048,0
280,1.824370654,0
290,1.819060621,0
300,1.814354431,0
310,1.810160174,0
320,1.806403254,0
330,1.803022527,0
340,1.79996742,0
350,1.797195765,0
360,1.794672139,0
370,1.792366587,0
380,1.790253618,0
390,1.788311417,0
400,1.786521214,0
410,1.784866779,0
420,1.783334017,0
430,1.781910631,0
440,1.780585851,0
450,1.779350209,0
460,1.778195354,0
470,1.777113891,0
480,1.776099254,0
490,1.775145595,0
500,1.774247693,0
510,1.773400868,0
520,1.772600922,0
530,1.771844074,0
540,1.771126915,0
550,1.770446361,0
560,1.769799619,0
570,1.769184152,0
580,1.768597654,0
590,1.768038022,0
600,1.767503336,0
610,1.766991841,0
620,1.766501929,0
630,1.766032125,0
640,1.765581072,0
650,1.765147522,0
660,1.764730327,0
670,1.764328425,0
680,1.763940835,0
690,1.763566651,0
700,1.763205031,0
710,1.762855196,0
720,1.762516422,0
730,1.762188037,0
740,1.761869414,0
750,1.76155997,0
760,1.761259161,0
770,1.760966478,0
780,1.760681447,0
790,1.760403625,0
800,1.760132596,0
810,1.75986797,0
820,1.759609382,0
830,1.759356489,0
840,1.75910897,0
850,1.758866522,0
860,1.75862886,0
870,1.758395716,0
880,1.758166837,0
890,1.757941985,0
900,1.757720936,0
910,1.757503476,0
920,1.757289406,0
930,1.757078536,0
940,1.756870686,0
950,1.756665686,0
960,1.756463376,0
970,1.756263603,0
980,1.756066221,0
990,1.755871095,0
1000,1.755678093,0
1010,1.755487092,0
1020,1.755297973,0
1030,1.755110626,0
1040,1.754924942,0
1050,1.754740821,0
1060,1.754558167,0
1070,1.754376886,0
1080,1.754196891,0
1090,1.754018098,0
1100,1.753840428,0
1110,1.753663803,0
1120,1.753488151,0
1130,1.753313402,0
1140,1.75313949,0
1150,1.752966351,0
1160,1.752793923,0
1170,1.752622148,0
1180,1.75245097,0
1190,1.752280336,0
1200,1.752110194,0
1210,1.751940494,0
1220,1.751771191,0
1230,1.751602237,0
1240,1.75143359,0
1250,1.751265208,0
1260,1.75109705,0
1270,1.750929078,0
1280,1.750761255,0
1290,1.750593544,0
1300,1.750425912,0
1310,1.750258326,0
1320,1.750090754,0
1330,1.749923164,0
1340,1.749755527,0
1350,1.749587816,0
1360,1.749420002,0
1370,1.749252059,0
1380,1.749083961,0
1390,1.748915684,0
1400,1.748747203,0
1410,1.748578497,0
1420,1.748409542,0
1430,1.748240318,0
1440,1.748070803,0
1450,1.747900977,0
1460,1.747730821,0
1470,1.747560316,0
1480,1.747389445,0
1490,1.747218189,0
1500,1.747046531,0
1510,1.746874456,0
1520,1.746701946,0
1530,1.746528987,0
1540,1.746355563,0
1550,1.746181661,0
1560,1.746007265,0
1570,1.745832362,0
1580,1.745656939,0
1590,1.745480983,0
1600,1.745304481,0
1610,1.745127422,0
1620,1.744949793,0
1630,1.744771583,0
1640,1.74459278,0
1650,1.744413374,0
1660,1.744233355,0
1670,1.744052712,0
1680,1.743871434,0
1690,1.743689513,0
1700,1.743506938,0
1710,1.743323701,0
1720,1.743139792,0
1730,1.742955203,0
1740,1.742769925,0
1750,1.74258395,0
