# Nb2O5 deposited by PARMS on a Buhler Leybold Optics HELIOS H800, Institut Fresnel, March 2026 campaign. Determination exploiting reflectance and transmittance, as carried in the campaign workbooks. Tabulated over 1000-5200 nm only.
Wavelength_nm,n,k
1000,2.258677,1.205e-06
1010,2.257724,1.211e-06
1020,2.256788,1.218e-06
1030,2.255879,1.225e-06
1040,2.254995,1.231e-06
1050,2.254143,1.238e-06
1060,2.253303,1.246e-06
1070,2.252492,1.253e-06
1080,2.251694,1.261e-06
1090,2.250925,1.269e-06
1100,2.250167,1.277e-06
1110,2.249429,1.285e-06
1120,2.24871,1.294e-06
1130,2.248006,1.303e-06
1140,2.247326,1.312e-06
1150,2.246654,1.321e-06
1160,2.245995,1.331e-06
1170,2.24535,1.341e-06
1180,2.244726,1.351e-06
1190,2.24411,1.362e-06
1200,2.243508,1.373e-06
1210,2.242919,1.384e-06
1220,2.242335,1.395e-06
1230,2.241768,1.407e-06
1240,2.241212,1.419e-06
1250,2.240664,1.432e-06
1260,2.240134,1.445e-06
1270,2.239607,1.458e-06
1280,2.239085,1.472e-06
1290,2.238578,1.485e-06
1300,2.238081,1.5e-06
1310,2.237587,1.515e-06
1320,2.237106,1.53e-06
1330,2.236632,1.546e-06
1340,2.236165,1.562e-06
1350,2.235705,1.578e-06
1360,2.235247,1.595e-06
1370,2.234802,1.613e-06
1380,2.234364,1.631e-06
1390,2.233929,1.649e-06
1400,2.233499,1.669e-06
1410,2.233079,1.688e-06
1420,2.232661,1.708e-06
1430,2.232251,1.729e-06
1440,2.231847,1.75e-06
1450,2.231444,1.772e-06
1460,2.23105,1.795e-06
1470,2.230658,1.818e-06
1480,2.230272,1.842e-06
1490,2.229888,1.866e-06
1500,2.22951,1.892e-06
1510,2.229139,1.917e-06
1520,2.228768,1.944e-06
1530,2.228404,1.971e-06
1540,2.228039,1.999e-06
1550,2.227683,2.028e-06
1560,2.227328,2.058e-06
1570,2.226974,2.088e-06
1580,2.226625,2.12e-06
1590,2.22628,2.152e-06
1600,2.225937,2.185e-06
1610,2.225598,2.219e-06
1620,2.22526,2.254e-06
1630,2.224924,2.29e-06
1640,2.224593,2.327e-06
1650,2.224265,2.365e-06
1660,2.223938,2.404e-06
1670,2.223613,2.444e-06
1680,2.223289,2.485e-06
1690,2.22297,2.527e-06
1700,2.22265,2.571e-06
1710,2.222335,2.615e-06
1720,2.22202,2.661e-06
1730,2.221709,2.708e-06
1740,2.221397,2.756e-06
1750,2.221089,2.806e-06
1760,2.220779,2.857e-06
1770,2.220473,2.909e-06
1780,2.22017,2.963e-06
1790,2.219867,3.018e-06
1800,2.219563,3.075e-06
1810,2.219264,3.133e-06
1820,2.218965,3.193e-06
1830,2.218667,3.254e-06
1840,2.218368,3.317e-06
1850,2.218071,3.382e-06
1860,2.217777,3.448e-06
1870,2.217483,3.517e-06
1880,2.217191,3.586e-06
1890,2.216899,3.658e-06
1900,2.216607,3.732e-06
1910,2.216315,3.809e-06
1920,2.216026,3.886e-06
1930,2.215736,3.966e-06
1940,2.215448,4.048e-06
1950,2.215158,4.133e-06
1960,2.214872,4.219e-06
1970,2.214584,4.307e-06
1980,2.2143,4.398e-06
1990,2.214012,4.492e-06
2000,2.213725,4.588e-06
2010,2.213442,4.686e-06
2020,2.213158,4.786e-06
2030,2.212871,4.891e-06
2040,2.212586,4.997e-06
2050,2.212301,5.106e-06
2060,2.212018,5.218e-06
2070,2.211735,5.333e-06
2080,2.211451,5.451e-06
2090,2.211168,5.571e-06
2100,2.210884,5.695e-06
2110,2.210599,5.823e-06
2120,2.210317,5.953e-06
2130,2.210034,6.086e-06
2140,2.209748,6.225e-06
2150,2.209464,6.366e-06
2160,2.209183,6.509e-06
2170,2.208897,6.658e-06
2180,2.208611,6.811e-06
2190,2.208328,6.966e-06
2200,2.208045,7.125e-06
2210,2.20776,7.29e-06
2220,2.207474,7.458e-06
2230,2.207188,7.631e-06
2240,2.206904,7.807e-06
2250,2.206616,7.99e-06
2260,2.206329,8.176e-06
2270,2.206043,8.366e-06
2280,2.205757,8.561e-06
2290,2.205469,8.762e-06
2300,2.205181,8.967e-06
2310,2.204893,9.178e-06
2320,2.204602,9.395e-06
2330,2.204313,9.616e-06
2340,2.204023,9.843e-06
2350,2.203731,1.0077e-05
2360,2.20344,1.0315e-05
2370,2.203148,1.056e-05
2380,2.202855,1.0811e-05
2390,2.202564,1.1066e-05
2400,2.202268,1.1331e-05
2410,2.201974,1.1601e-05
2420,2.201678,1.1877e-05
2430,2.201382,1.2161e-05
2440,2.201085,1.2452e-05
2450,2.200789,1.2749e-05
2460,2.200491,1.3053e-05
2470,2.200191,1.3366e-05
2480,2.199891,1.3688e-05
2490,2.199588,1.4017e-05
2500,2.199292,1.4348e-05
2510,2.198988,1.4694e-05
2520,2.198683,1.5049e-05
2530,2.198378,1.5412e-05
2540,2.198072,1.5783e-05
2550,2.197766,1.6163e-05
2560,2.19746,1.655e-05
2570,2.197154,1.6947e-05
2580,2.196847,1.7351e-05
2590,2.196533,1.7775e-05
2600,2.196225,1.8199e-05
2610,2.195909,1.8642e-05
2620,2.195599,1.9088e-05
2630,2.195286,1.9544e-05
2640,2.194973,2.0013e-05
2650,2.194657,2.0494e-05
2660,2.19434,2.0987e-05
2670,2.194021,2.1494e-05
2680,2.1937,2.2012e-05
2690,2.193378,2.2544e-05
2700,2.193056,2.3088e-05
2710,2.192732,2.3644e-05
2720,2.192408,2.4212e-05
2730,2.192083,2.4793e-05
2740,2.191759,2.5386e-05
2750,2.191426,2.6005e-05
2760,2.1911,2.6623e-05
2770,2.190765,2.727e-05
2780,2.190438,2.7916e-05
2790,2.190101,2.8593e-05
2800,2.18977,2.9271e-05
2810,2.18943,2.9982e-05
2820,2.189095,3.0695e-05
2830,2.188758,3.1426e-05
2840,2.18842,3.2176e-05
2850,2.188079,3.2944e-05
2860,2.187736,3.3732e-05
2870,2.187392,3.4538e-05
2880,2.187046,3.5362e-05
2890,2.186699,3.6205e-05
2900,2.186352,3.7065e-05
2910,2.185996,3.7963e-05
2920,2.185647,3.886e-05
2930,2.18529,3.9795e-05
2940,2.18494,4.0729e-05
2950,2.184581,4.1704e-05
2960,2.184229,4.2679e-05
2970,2.183866,4.37e-05
2980,2.183503,4.4744e-05
2990,2.183145,4.5789e-05
3000,2.182776,4.6886e-05
3010,2.182413,4.7985e-05
3020,2.182048,4.9112e-05
3030,2.181672,5.0292e-05
3040,2.181303,5.1474e-05
3050,2.180931,5.2682e-05
3060,2.180558,5.3918e-05
3070,2.180184,5.518e-05
3080,2.179808,5.6468e-05
3090,2.179424,5.7811e-05
3100,2.179047,5.9152e-05
3110,2.17866,6.0548e-05
3120,2.178273,6.1975e-05
3130,2.177884,6.3429e-05
3140,2.177503,6.4883e-05
3150,2.177111,6.6402e-05
3160,2.176717,6.7957e-05
3170,2.17632,6.955e-05
3180,2.175929,7.1144e-05
3190,2.175527,7.2814e-05
3200,2.175131,7.4486e-05
3210,2.174723,7.6238e-05
3220,2.174321,7.7992e-05
3230,2.173918,7.9783e-05
3240,2.173512,8.1614e-05
3250,2.173096,8.3525e-05
3260,2.172688,8.543e-05
3270,2.17227,8.7416e-05
3280,2.17186,8.9395e-05
3290,2.17144,9.1458e-05
3300,2.171018,9.3561e-05
3310,2.170595,9.5706e-05
3320,2.17017,9.7898e-05
3330,2.169744,0.000100135
3340,2.169314,0.000102424
3350,2.168881,0.000104766
3360,2.168455,0.00010711
3370,2.168016,0.000109565
3380,2.167574,0.000112075
3390,2.167139,0.000114589
3400,2.166691,0.000117218
3410,2.16625,0.000119843
3420,2.165798,0.000122583
3430,2.165353,0.000125318
3440,2.164898,0.000128167
3450,2.164451,0.000131005
3460,2.163993,0.000133958
3470,2.163533,0.000136967
3480,2.163072,0.000140034
3490,2.162609,0.000143162
3500,2.162145,0.000146349
3510,2.161666,0.000149682
3520,2.161196,0.000153012
3530,2.160722,0.000156415
3540,2.160245,0.0001599
3550,2.159774,0.000163385
3560,2.15929,0.000167029
3570,2.158802,0.000170757
3580,2.158321,0.000174479
3590,2.157827,0.000178366
3600,2.157331,0.000182331
3610,2.156843,0.000186284
3620,2.156343,0.0001904
3630,2.155842,0.000194588
3640,2.155339,0.00019885
3650,2.154834,0.00020319
3660,2.154328,0.000207609
3670,2.153808,0.000212209
3680,2.153297,0.000216802
3690,2.152783,0.000221487
3700,2.152254,0.000226378
3710,2.151733,0.00023127
3720,2.151207,0.000236277
3730,2.150678,0.000241389
3740,2.150144,0.000246619
3750,2.149606,0.000251961
3760,2.149077,0.000257295
3770,2.148533,0.000262857
3780,2.147986,0.000268524
3790,2.147437,0.000274294
3800,2.146886,0.000280167
3810,2.146333,0.000286138
3820,2.145779,0.000292215
3830,2.14521,0.00029853
3840,2.144652,0.000304819
3850,2.144078,0.000311367
3860,2.143514,0.000317899
3870,2.142934,0.000324708
3880,2.142362,0.000331512
3890,2.141786,0.000338456
3900,2.141192,0.000345714
3910,2.140606,0.000352969
3920,2.140016,0.00036038
3930,2.13942,0.000367949
3940,2.138822,0.000375658
3950,2.13822,0.000383523
3960,2.137615,0.000391525
3970,2.137008,0.000399672
