# Nb2O5 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the reference single layers and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
350,2.7685,0.0176,0.00705
352,2.7526,0.0145,0.007
354,2.7377,0.0119,0.00695
356,2.7237,0.0097,0.00695
358,2.7106,0.00785,0.0069
360,2.6982,0.00632,0.00685
362,2.6865,0.00507,0.00685
364,2.6754,0.00406,0.0068
366,2.665,0.00325,0.00675
368,2.6552,0.0026,0.0067
370,2.6459,0.00208,0.0067
372,2.6371,0.00167,0.0067
374,2.6287,0.00134,0.0067
376,2.6207,0.00109,0.00665
378,2.6131,0.000881,0.00665
380,2.6059,0.000719,0.0066
382,2.599,0.00059,0.0066
384,2.5923,0.000487,0.00655
386,2.5859,0.000405,0.00655
388,2.5798,0.000339,0.00655
390,2.5738,0.000287,0.00655
392,2.568,0.000244,0.00655
394,2.5624,0.00021,0.0065
396,2.5569,0.000182,0.00645
398,2.5516,0.000159,0.00645
400,2.5465,0.00014,0.00645
405,2.5342,0.000104,0.0064
410,2.5227,8.14e-05,0.0064
415,2.5119,6.58e-05,0.00635
420,2.5019,5.48e-05,0.00635
425,2.4925,4.7e-05,0.0063
430,2.4836,4.14e-05,0.0063
435,2.4753,3.72e-05,0.00625
440,2.4675,3.42e-05,0.00625
445,2.4601,3.19e-05,0.00625
450,2.4531,3.02e-05,0.00625
455,2.4466,2.9e-05,0.0062
460,2.4403,2.82e-05,0.0062
465,2.4344,2.77e-05,0.00615
470,2.4288,2.74e-05,0.00615
475,2.4235,2.73e-05,0.00615
480,2.4184,2.74e-05,0.00615
485,2.4135,2.76e-05,0.0061
490,2.4089,2.8e-05,0.0061
495,2.4044,2.84e-05,0.0061
500,2.4002,2.9e-05,0.00605
505,2.3961,2.96e-05,0.00605
510,2.3921,3.02e-05,0.00605
515,2.3883,3.09e-05,0.00605
520,2.3847,3.16e-05,0.00605
525,2.3811,3.23e-05,0.00605
530,2.3777,3.3e-05,0.006
535,2.3744,3.37e-05,0.006
540,2.3712,3.44e-05,0.006
545,2.368,3.5e-05,0.00595
550,2.365,3.56e-05,0.006
555,2.362,3.61e-05,0.006
560,2.3591,3.66e-05,0.006
565,2.3562,3.7e-05,0.00595
570,2.3535,3.74e-05,0.00595
575,2.3508,3.77e-05,0.00595
580,2.3482,3.8e-05,0.00595
585,2.3457,3.83e-05,0.0059
590,2.3432,3.86e-05,0.00585
595,2.3408,3.89e-05,0.0059
600,2.3385,3.91e-05,0.00585
605,2.3363,3.94e-05,0.0059
610,2.3341,3.96e-05,0.00585
615,2.332,3.99e-05,0.00585
620,2.33,4.01e-05,0.00585
625,2.328,4.04e-05,0.00585
630,2.3261,4.07e-05,0.00585
635,2.3243,4.11e-05,0.00585
640,2.3225,4.14e-05,0.00585
645,2.3208,4.18e-05,0.00585
650,2.3192,4.22e-05,0.0058
655,2.3176,4.26e-05,0.00585
660,2.316,4.3e-05,0.0058
665,2.3145,4.34e-05,0.0058
670,2.3131,4.39e-05,0.00585
675,2.3117,4.43e-05,0.00585
680,2.3103,4.48e-05,0.0058
685,2.309,4.53e-05,0.0058
690,2.3077,4.58e-05,0.0058
695,2.3065,4.63e-05,0.0058
700,2.3053,4.68e-05,0.0058
705,2.3041,4.73e-05,0.0058
710,2.3029,4.78e-05,0.0058
715,2.3018,4.82e-05,0.0058
720,2.3007,4.87e-05,0.0058
725,2.2996,4.92e-05,0.00575
730,2.2986,4.97e-05,0.0058
735,2.2975,5.02e-05,0.0058
740,2.2965,5.07e-05,0.00575
745,2.2955,5.12e-05,0.00575
750,2.2946,5.16e-05,0.0058
755,2.2936,5.21e-05,0.00575
760,2.2927,5.26e-05,0.0058
765,2.2918,5.3e-05,0.00575
770,2.2909,5.34e-05,0.00575
775,2.29,5.39e-05,0.00575
780,2.2891,5.43e-05,0.00575
