# SiO2, literature reference, NOT from this campaign. Optical constants of the universal dispersion model of D. Franta, D. Necas, I. Ohlidal and A. Giglia, Proc. SPIE 9890, 989014 (2016). Tabulated from the refractiveindex.info entry 'main/SiO2/Franta', 250-4848 nm. n(1500 nm) = 1.4449, that is 0.0256 below the value this campaign's single layers give, which is exactly the handicap the in situ test of Section 6 starts from. Used only as a starting point, never as a result. sigma_n is a flat placeholder of 0.01 and carries no published meaning.
Wavelength_nm,n,k,sigma_n
250.0,1.507157069697934,6.712438801109673e-11,0.01
252.0,1.50609603044,5.51908486814e-11,0.01
254.0,1.5050660944695042,4.551617795075335e-11,0.01
256.0,1.5040659405780645,3.7595809922148536e-11,0.01
258.0,1.5030945084939495,3.111647019539371e-11,0.01
260.0,1.5021506354594816,2.5794175553109398e-11,0.01
262.0,1.5012327501652825,2.1398061635113562e-11,0.01
264.0,1.5003407240105922,1.7771527120345357e-11,0.01
266.0,1.4994730055762806,1.47635363294532e-11,0.01
268.0,1.4986285626699352,1.2258010252866593e-11,0.01
270.0,1.497806202465942,1.0164890888827047e-11,0.01
272.0,1.4970062986061723,8.418246529178761e-12,0.01
274.0,1.4962272600516324,6.951588055982083e-12,0.01
276.0,1.495468247353622,5.715880292296592e-12,0.01
278.0,1.4947284070744686,4.671707328300678e-12,0.01
280.0,1.4940077075409937,3.787654218881617e-12,0.01
282.0,1.4933048776378584,3.0363258506081864e-12,0.01
284.0,1.4926194158827106,2.3960015609519743e-12,0.01
286.0,1.4919509527473251,1.84877408193629e-12,0.01
288.0,1.4912989153445853,1.3796029605528798e-12,0.01
290.0,1.4906623919889506,9.757942640014486e-13,0.01
292.0,1.490041151930492,6.272181708748891e-13,0.01
294.0,1.489434937160709,3.253647437707224e-13,0.01
296.0,1.4888426652607343,6.274165726267048e-14,0.01
298.0,1.4882640977767347,0.0,0.01
300.0,1.4876990534759045,0.0,0.01
302.0,1.4871466176500288,0.0,0.01
304.0,1.4866069922133,0.0,0.01
306.0,1.4860791949988637,0.0,0.01
308.0,1.485563077952,0.0,0.01
310.0,1.4850583129979382,0.0,0.01
312.0,1.484564788620975,0.0,0.01
314.0,1.484081906158271,0.0,0.01
316.0,1.4836093124841758,0.0,0.01
318.0,1.483146669303847,0.0,0.01
