# SiO2 deposited by PARMS on a Buhler Leybold Optics HELIOS H800, Institut Fresnel, March 2026 campaign. Determination exploiting reflectance and transmittance, as carried in the campaign workbooks. Tabulated over 1000-5200 nm only.
Wavelength_nm,n,k
1000,1.472533,1e-06
1010,1.4724,1e-06
1020,1.472267,1e-06
1030,1.472135,1e-06
1040,1.472005,1e-06
1050,1.471877,1e-06
1060,1.471748,1e-06
1070,1.471622,1e-06
1080,1.471495,1e-06
1090,1.471371,1e-06
1100,1.471246,1e-06
1110,1.471123,1e-06
1120,1.471,1e-06
1130,1.470878,1e-06
1140,1.470758,1e-06
1150,1.470637,1e-06
1160,1.470516,1e-06
1170,1.470396,1e-06
1180,1.470277,1e-06
1190,1.470158,1e-06
1200,1.47004,1e-06
1210,1.469922,1e-06
1220,1.469803,1e-06
1230,1.469686,1e-06
1240,1.469568,1e-06
1250,1.469451,1e-06
1260,1.469335,1e-06
1270,1.469219,1e-06
1280,1.469101,1e-06
1290,1.468985,1e-06
1300,1.468869,1e-06
1310,1.468752,1e-06
1320,1.468636,1e-06
1330,1.46852,1e-06
1340,1.468404,1e-06
1350,1.468288,1e-06
1360,1.46817,1e-06
1370,1.468054,1e-06
1380,1.467939,1e-06
1390,1.467821,1e-06
1400,1.467704,1e-06
1410,1.467588,1e-06
1420,1.467471,1e-06
1430,1.467354,1e-06
1440,1.467237,1e-06
1450,1.467119,1e-06
1460,1.467002,1e-06
1470,1.466884,1e-06
1480,1.466766,1e-06
1490,1.466647,1e-06
1500,1.466528,1e-06
1510,1.46641,1e-06
1520,1.466291,1e-06
1530,1.466172,1e-06
1540,1.466051,1e-06
1550,1.465932,1e-06
1560,1.465812,1e-06
1570,1.46569,1e-06
1580,1.465569,1e-06
1590,1.465448,1e-06
1600,1.465326,1e-06
1610,1.465205,1e-06
1620,1.465082,1e-06
1630,1.464958,1e-06
1640,1.464836,1e-06
1650,1.464712,1e-06
1660,1.464588,1e-06
1670,1.464464,1e-06
1680,1.464339,1e-06
1690,1.464214,1e-06
1700,1.464088,1e-06
1710,1.463962,1e-06
1720,1.463835,1e-06
1730,1.463709,1e-06
1740,1.463581,1e-06
1750,1.463453,1e-06
1760,1.463324,1e-06
1770,1.463195,1e-06
1780,1.463067,1e-06
1790,1.462937,1e-06
1800,1.462806,1e-06
1810,1.462676,1e-06
1820,1.462544,1e-06
1830,1.462413,1e-06
1840,1.46228,1e-06
1850,1.462146,1e-06
1860,1.462014,1e-06
1870,1.46188,1e-06
1880,1.461746,1e-06
1890,1.461611,1e-06
1900,1.461475,1e-06
1910,1.461338,1e-06
1920,1.461202,1e-06
1930,1.461065,1e-06
1940,1.460928,1e-06
1950,1.460789,1e-06
1960,1.460651,1e-06
1970,1.460511,1e-06
1980,1.460372,1e-06
1990,1.460231,1e-06
2000,1.46009,1.001e-06
2010,1.459949,1.001e-06
2020,1.459807,1.001e-06
2030,1.459663,1.001e-06
2040,1.45952,1.001e-06
2050,1.459376,1.001e-06
2060,1.459232,1.001e-06
2070,1.459087,1.001e-06
2080,1.458941,1.001e-06
2090,1.458795,1.001e-06
2100,1.458649,1.001e-06
2110,1.4585,1.001e-06
2120,1.458353,1.001e-06
2130,1.458205,1.002e-06
2140,1.458054,1.002e-06
2150,1.457904,1.002e-06
2160,1.457755,1.002e-06
2170,1.457603,1.002e-06
2180,1.457451,1.002e-06
2190,1.457299,1.003e-06
2200,1.457147,1.003e-06
2210,1.456993,1.003e-06
2220,1.456838,1.003e-06
2230,1.456683,1.003e-06
2240,1.456528,1.004e-06
2250,1.456371,1.004e-06
2260,1.456214,1.004e-06
2270,1.456057,1.005e-06
2280,1.4559,1.005e-06
2290,1.455741,1.006e-06
2300,1.455582,1.006e-06
2310,1.455422,1.007e-06
2320,1.45526,1.007e-06
2330,1.455099,1.008e-06
2340,1.454938,1.008e-06
2350,1.454774,1.009e-06
2360,1.454612,1.01e-06
2370,1.454447,1.011e-06
2380,1.454283,1.011e-06
2390,1.454118,1.012e-06
2400,1.453951,1.013e-06
2410,1.453785,1.014e-06
2420,1.453618,1.016e-06
2430,1.453449,1.017e-06
2440,1.453281,1.018e-06
2450,1.453112,1.02e-06
2460,1.452942,1.021e-06
2470,1.452771,1.023e-06
2480,1.4526,1.025e-06
2490,1.452427,1.027e-06
2500,1.452257,1.029e-06
2510,1.452083,1.031e-06
2520,1.451908,1.034e-06
2530,1.451732,1.036e-06
2540,1.451557,1.039e-06
2550,1.451381,1.042e-06
2560,1.451204,1.046e-06
2570,1.451028,1.049e-06
2580,1.450851,1.053e-06
2590,1.45067,1.057e-06
2600,1.450492,1.061e-06
2610,1.450309,1.066e-06
2620,1.450129,1.071e-06
2630,1.449949,1.076e-06
2640,1.449767,1.082e-06
2650,1.449584,1.088e-06
2660,1.449401,1.095e-06
2670,1.449216,1.102e-06
2680,1.44903,1.11e-06
2690,1.448844,1.118e-06
2700,1.448657,1.127e-06
2710,1.448469,1.137e-06
2720,1.448281,1.147e-06
2730,1.448093,1.158e-06
2740,1.447904,1.169e-06
2750,1.447711,1.182e-06
2760,1.447522,1.195e-06
2770,1.447328,1.209e-06
2780,1.447138,1.224e-06
2790,1.446943,1.241e-06
2800,1.446751,1.258e-06
2810,1.446554,1.277e-06
2820,1.44636,1.297e-06
2830,1.446165,1.318e-06
2840,1.445969,1.341e-06
2850,1.445772,1.365e-06
2860,1.445574,1.391e-06
2870,1.445375,1.419e-06
2880,1.445175,1.448e-06
2890,1.444975,1.48e-06
2900,1.444774,1.513e-06
2910,1.444569,1.55e-06
2920,1.444368,1.588e-06
2930,1.444162,1.629e-06
2940,1.44396,1.673e-06
2950,1.443754,1.719e-06
2960,1.443551,1.768e-06
2970,1.443343,1.821e-06
2980,1.443134,1.878e-06
2990,1.442929,1.937e-06
3000,1.442718,2.001e-06
3010,1.44251,2.068e-06
3020,1.442301,2.14e-06
3030,1.442087,2.218e-06
3040,1.441876,2.299e-06
3050,1.441664,2.386e-06
3060,1.441451,2.478e-06
3070,1.441238,2.575e-06
3080,1.441025,2.679e-06
3090,1.440806,2.791e-06
3100,1.440592,2.907e-06
3110,1.440373,3.033e-06
3120,1.440154,3.166e-06
3130,1.439935,3.307e-06
3140,1.439719,3.454e-06
3150,1.439498,3.612e-06
3160,1.439276,3.781e-06
3170,1.439053,3.96e-06
3180,1.438833,4.146e-06
3190,1.438608,4.348e-06
3200,1.438386,4.557e-06
3210,1.438158,4.785e-06
3220,1.437933,5.021e-06
3230,1.437709,5.271e-06
3240,1.437483,5.535e-06
3250,1.437251,5.821e-06
3260,1.437025,6.116e-06
3270,1.436793,6.435e-06
3280,1.436566,6.763e-06
3290,1.436334,7.117e-06
3300,1.436101,7.49e-06
3310,1.435868,7.884e-06
3320,1.435635,8.301e-06
3330,1.4354,8.74e-06
3340,1.435165,9.205e-06
3350,1.434928,9.696e-06
3360,1.434695,1.0203e-05
3370,1.434456,1.0753e-05
3380,1.434215,1.1333e-05
3390,1.433979,1.1933e-05
3400,1.433736,1.2581e-05
3410,1.433497,1.3248e-05
3420,1.433253,1.3967e-05
3430,1.433013,1.4708e-05
3440,1.432768,1.5503e-05
3450,1.432528,1.632e-05
3460,1.432282,1.7196e-05
3470,1.432036,1.8117e-05
3480,1.43179,1.9084e-05
3490,1.431543,2.0099e-05
3500,1.431296,2.1166e-05
3510,1.431042,2.2314e-05
3520,1.430793,2.3495e-05
3530,1.430543,2.4738e-05
3540,1.430291,2.6048e-05
3550,1.430043,2.7395e-05
3560,1.429788,2.8845e-05
3570,1.429533,3.037e-05
3580,1.429281,3.1935e-05
3590,1.429023,3.3615e-05
3600,1.428765,3.5377e-05
3610,1.428512,3.7182e-05
3620,1.428252,3.9112e-05
3630,1.427993,4.113e-05
3640,1.427733,4.3238e-05
3650,1.427473,4.5441e-05
3660,1.427213,4.7744e-05
3670,1.426947,5.0204e-05
3680,1.426686,5.2723e-05
3690,1.426424,5.5359e-05
3700,1.426155,5.818e-05
3710,1.42589,6.1074e-05
3720,1.425624,6.4109e-05
3730,1.425356,6.7284e-05
3740,1.425087,7.0612e-05
3750,1.424817,7.4093e-05
3760,1.424551,7.7652e-05
3770,1.424279,8.145e-05
3780,1.424006,8.5411e-05
3790,1.423733,8.9537e-05
3800,1.42346,9.3833e-05
3810,1.423186,9.8301e-05
3820,1.422913,0.000102948
3830,1.422633,0.000107887
3840,1.422359,0.000112911
3850,1.422078,0.000118257
3860,1.421802,0.000123704
3870,1.421519,0.000129501
3880,1.421242,0.000135415
3890,1.420963,0.000141574
3900,1.420676,0.000148144
3910,1.420393,0.000154844
3920,1.42011,0.000161824
3930,1.419825,0.000169092
3940,1.419539,0.000176637
3950,1.419252,0.000184483
3960,1.418965,0.000192614
3970,1.418677,0.000201046
3980,1.418389,0.000209769
3990,1.418101,0.00021879
4000,1.417807,0.000228326
4010,1.417519,0.000237979
4020,1.417223,0.000248197
4030,1.416928,0.000258767
4040,1.416638,0.000269486
4050,1.41634,0.000280832
4060,1.416041,0.000292606
4070,1.415747,0.000304549
4080,1.415444,0.000317206
4090,1.415147,0.00033004
4100,1.414849,0.000343333
4110,1.414549,0.000357099
4120,1.414241,0.000371627
4130,1.413939,0.000386313
4140,1.413637,0.000401444
4150,1.413335,0.00041703
4160,1.413026,0.000433438
4170,1.412724,0.000449929
4180,1.412414,0.000467279
4190,1.412105,0.000485132
4200,1.411795,0.000503495
4210,1.411484,0.000522414
4220,1.411172,0.000541899
4230,1.410859,0.00056198
4240,1.410551,0.00058223
4250,1.410234,0.00060359
4260,1.409917,0.000625584
4270,1.409604,0.000647769
4280,1.40929,0.000670585
4290,1.408967,0.000694569
4300,1.408652,0.000718643
4310,1.408328,0.000743906
4320,1.408011,0.000769192
4330,1.407686,0.00079568
4340,1.407362,0.000822739
4350,1.407045,0.000849808
4360,1.40672,0.000878075
4370,1.406395,0.000906969
4380,1.406063,0.00093715
4390,1.405737,0.000967408
4400,1.405409,0.000998393
4410,1.40508,0.00103011
4420,1.404749,0.001062629
4430,1.404417,0.001095893
4440,1.40409,0.001129221
4450,1.403754,0.001164075
4460,1.403417,0.001199651
4470,1.403086,0.001235185
4480,1.402747,0.001272224
4490,1.402408,0.001309869
4500,1.402076,0.001347341
4510,1.401736,0.001386193
4520,1.401396,0.001425662
4530,1.401049,0.001466587
4540,1.400709,0.00150723
4550,1.400369,0.001548454
4560,1.40002,0.001591226
4570,1.399678,0.001633806
4580,1.399334,0.001677021
4590,1.398989,0.001720948
