# SiO2 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the single-layer witnesses and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
252,1.5347,0.00146,0.0101
254,1.5334,0.00152,0.0101
256,1.5323,0.00155,0.01005
258,1.5313,0.00153,0.01005
260,1.5304,0.00149,0.00995
262,1.5296,0.00141,0.01
264,1.5288,0.00132,0.00995
266,1.528,0.00121,0.0099
268,1.5272,0.00109,0.0099
270,1.5264,0.000966,0.0099
272,1.5256,0.000852,0.0099
274,1.5247,0.000746,0.0099
276,1.5239,0.00065,0.0099
278,1.5232,0.000566,0.0099
280,1.5224,0.000493,0.00995
282,1.5216,0.00043,0.0099
284,1.5208,0.000376,0.00995
286,1.5201,0.00033,0.0099
288,1.5194,0.00029,0.00995
290,1.5187,0.000256,0.00995
292,1.518,0.000227,0.00995
294,1.5173,0.000201,0.00995
296,1.5166,0.000179,0.00995
298,1.5159,0.00016,0.00995
300,1.5153,0.000144,0.00995
302,1.5147,0.000129,0.00995
304,1.5141,0.000116,0.00995
306,1.5135,0.000105,0.00995
308,1.5129,9.51e-05,0.00995
310,1.5123,8.65e-05,0.0099
312,1.5117,7.88e-05,0.00995
314,1.5112,7.2e-05,0.00995
316,1.5106,6.6e-05,0.00995
318,1.5101,6.07e-05,0.0099
320,1.5096,5.59e-05,0.0099
322,1.5091,5.17e-05,0.0099
324,1.5086,4.79e-05,0.0099
326,1.5082,4.45e-05,0.00995
328,1.5077,4.14e-05,0.00995
330,1.5072,3.87e-05,0.0099
332,1.5068,3.62e-05,0.0099
334,1.5064,3.39e-05,0.00995
336,1.5059,3.19e-05,0.0099
338,1.5055,3e-05,0.0099
340,1.5051,2.83e-05,0.0099
342,1.5047,2.67e-05,0.0099
344,1.5043,2.53e-05,0.0099
346,1.504,2.4e-05,0.0099
348,1.5036,2.28e-05,0.0099
350,1.5032,2.17e-05,0.0099
352,1.5029,2.07e-05,0.0099
354,1.5025,1.98e-05,0.0099
356,1.5022,1.89e-05,0.00995
358,1.5019,1.81e-05,0.0099
360,1.5015,1.74e-05,0.0099
362,1.5012,1.67e-05,0.0099
364,1.5009,1.61e-05,0.00985
366,1.5006,1.55e-05,0.00985
368,1.5003,1.49e-05,0.00985
370,1.5,1.44e-05,0.00985
372,1.4997,1.39e-05,0.00985
374,1.4994,1.35e-05,0.00985
376,1.4991,1.31e-05,0.0099
378,1.4989,1.27e-05,0.0099
380,1.4986,1.23e-05,0.00985
382,1.4983,1.2e-05,0.00985
384,1.4981,1.16e-05,0.0099
386,1.4978,1.13e-05,0.00985
388,1.4976,1.11e-05,0.0099
390,1.4973,1.08e-05,0.00985
392,1.4971,1.05e-05,0.00985
394,1.4968,1.03e-05,0.00985
396,1.4966,1.01e-05,0.00985
398,1.4964,9.87e-06,0.00985
400,1.4961,9.67e-06,0.00985
405,1.4956,9.23e-06,0.00985
410,1.4951,8.84e-06,0.0098
415,1.4946,8.51e-06,0.0098
420,1.4941,8.22e-06,0.0098
425,1.4936,7.98e-06,0.00985
430,1.4932,7.76e-06,0.0098
435,1.4927,7.58e-06,0.0098
440,1.4923,7.42e-06,0.00975
445,1.4919,7.29e-06,0.00975
450,1.4915,7.17e-06,0.00975
455,1.4911,7.08e-06,0.00975
460,1.4908,7e-06,0.00975
465,1.4904,6.94e-06,0.00975
470,1.4901,6.89e-06,0.00975
475,1.4897,6.86e-06,0.0097
480,1.4894,6.84e-06,0.0097
485,1.4891,6.82e-06,0.0097
490,1.4888,6.82e-06,0.0097
495,1.4885,6.83e-06,0.00965
500,1.4882,6.85e-06,0.0097
505,1.4879,6.88e-06,0.0097
510,1.4877,6.91e-06,0.00965
515,1.4874,6.95e-06,0.00965
520,1.4872,7e-06,0.0096
525,1.4869,7.06e-06,0.00965
530,1.4867,7.12e-06,0.0096
535,1.4864,7.19e-06,0.0096
540,1.4862,7.26e-06,0.0096
545,1.486,7.34e-06,0.0096
550,1.4857,7.43e-06,0.0096
555,1.4855,7.52e-06,0.00955
560,1.4853,7.62e-06,0.00955
565,1.4851,7.72e-06,0.00955
570,1.4849,7.83e-06,0.00955
575,1.4847,7.95e-06,0.00955
580,1.4845,8.06e-06,0.00955
585,1.4843,8.19e-06,0.00955
590,1.4841,8.32e-06,0.0095
595,1.4839,8.45e-06,0.0095
600,1.4838,8.59e-06,0.0095
605,1.4836,8.73e-06,0.00945
610,1.4834,8.88e-06,0.00945
615,1.4832,9.03e-06,0.0095
620,1.4831,9.19e-06,0.00945
625,1.4829,9.35e-06,0.00945
630,1.4827,9.52e-06,0.0094
635,1.4826,9.69e-06,0.00945
640,1.4824,9.87e-06,0.0094
645,1.4823,1e-05,0.0094
650,1.4821,1.02e-05,0.0094
655,1.482,1.04e-05,0.0094
660,1.4818,1.06e-05,0.0094
665,1.4817,1.08e-05,0.00935
670,1.4816,1.1e-05,0.0094
675,1.4814,1.12e-05,0.00935
680,1.4813,1.14e-05,0.00935
685,1.4811,1.16e-05,0.0093
690,1.481,1.19e-05,0.00935
695,1.4809,1.21e-05,0.0093
700,1.4808,1.23e-05,0.0093
705,1.4806,1.26e-05,0.0093
710,1.4805,1.28e-05,0.00925
715,1.4804,1.3e-05,0.0093
720,1.4803,1.33e-05,0.0093
725,1.4801,1.35e-05,0.00925
730,1.48,1.38e-05,0.00925
735,1.4799,1.41e-05,0.00925
740,1.4798,1.43e-05,0.00925
745,1.4797,1.46e-05,0.0092
750,1.4796,1.49e-05,0.0092
755,1.4795,1.51e-05,0.0092
760,1.4793,1.54e-05,0.0092
765,1.4792,1.57e-05,0.0092
770,1.4791,1.6e-05,0.0092
775,1.479,1.63e-05,0.00915
780,1.4789,1.66e-05,0.00915
785,1.4788,1.69e-05,0.00915
790,1.4787,1.72e-05,0.00915
795,1.4786,1.75e-05,0.00915
800,1.4785,1.79e-05,0.00915
805,1.4784,1.82e-05,0.00915
810,1.4783,1.85e-05,0.00915
815,1.4782,1.88e-05,0.00915
820,1.4781,1.92e-05,0.0091
825,1.478,1.95e-05,0.0091
830,1.478,1.99e-05,0.0091
835,1.4779,2.02e-05,0.0091
840,1.4778,2.06e-05,0.0091
845,1.4777,2.09e-05,0.0091
850,1.4776,2.13e-05,0.0091
855,1.4775,2.17e-05,0.00905
860,1.4774,2.2e-05,0.00905
865,1.4773,2.24e-05,0.00905
