# Silicon. H. H. Li, J. Phys. Chem. Ref. Data 9, 561 (1980), crystalline silicon at 26 C, evaluated here from the formula rather than transcribed: n^2 = 11.6858 + 0.939816/L^2 + 8.10461e-3 * 1.1071^2 / (L^2 - 1.1071^2), L in micrometres. n(1.5 um) = 3.4804, n(2) = 3.4532, n(3) = 3.4339, n(4) = 3.4271. k = 0: silicon is transparent over this range. Tabulated from 1200 nm because the formula has a pole at 1107 nm; below 1200 nm it is not merely inaccurate but meaningless. Propagated, never adjusted.
Wavelength_nm,n,k
1200,3.519204061,0
1205,3.518086141,0
1210,3.517011445,0
1215,3.515975118,0
1220,3.514973141,0
1225,3.514002152,0
1230,3.513059319,0
1235,3.51214223,0
1240,3.511248819,0
1245,3.510377303,0
1250,3.509526129,0
1255,3.508693944,0
1260,3.507879553,0
1265,3.507081901,0
1270,3.506300049,0
1275,3.505533158,0
1280,3.504780475,0
1285,3.504041319,0
1290,3.503315075,0
1295,3.502601183,0
1300,3.501899131,0
1305,3.501208451,0
1310,3.500528712,0
1315,3.499859516,0
1320,3.499200496,0
1325,3.498551309,0
1330,3.497911639,0
1335,3.497281188,0
1340,3.496659679,0
1345,3.496046851,0
1350,3.49544246,0
1355,3.494846274,0
1360,3.494258077,0
1365,3.493677662,0
1370,3.493104833,0
1375,3.492539405,0
1380,3.491981202,0
1385,3.491430055,0
1390,3.490885804,0
1395,3.490348296,0
1400,3.489817384,0
1405,3.489292927,0
1410,3.48877479,0
1415,3.488262844,0
1420,3.487756965,0
1425,3.487257031,0
1430,3.486762928,0
1435,3.486274544,0
1440,3.485791771,0
1445,3.485314505,0
1450,3.484842645,0
1455,3.484376095,0
1460,3.483914759,0
1465,3.483458546,0
1470,3.483007368,0
1475,3.482561138,0
1480,3.482119772,0
1485,3.48168319,0
1490,3.481251312,0
1495,3.480824061,0
1500,3.480401362,0
1505,3.479983143,0
1510,3.479569331,0
1515,3.479159859,0
1520,3.478754658,0
1525,3.478353663,0
1530,3.477956809,0
1535,3.477564033,0
1540,3.477175274,0
1545,3.476790472,0
1550,3.476409568,0
1555,3.476032506,0
1560,3.475659229,0
1565,3.475289682,0
1570,3.474923812,0
1575,3.474561566,0
1580,3.474202893,0
1585,3.473847742,0
1590,3.473496065,0
1595,3.473147813,0
1600,3.472802938,0
1605,3.472461395,0
1610,3.472123137,0
1615,3.471788121,0
1620,3.471456302,0
1625,3.471127637,0
1630,3.470802085,0
1635,3.470479604,0
