# Six-layer antireflection coating, run 260317-034, on double-side polished silicon. Reflectance at 8 degrees, no polarizer. EssentOptics PHOTON RT SN 38425, March 2026, 220-240 um slit.
Wavelength_nm,R_a_pct
1500.05,54.1721
1509.98,53.7605
1520,52.8009
1529.95,51.3039
1540.04,49.2475
1549.95,46.6131
1559.95,43.3694
1570,39.5257
1580.01,35.1233
1589.98,30.3314
1599.99,25.1941
1609.97,19.8786
1619.99,14.7627
1630.04,10.1582
1640.02,6.3479
1649.98,3.655
1659.99,2.163
1669.97,1.8412
1680.02,2.506
1689.98,3.8938
1700.03,5.7417
1710.01,7.7523
1720.02,9.7444
1729.95,11.5306
1739.99,13.0047
1749.96,14.0783
1760.02,14.7107
1770.03,14.8967
1779.95,14.6259
1789.96,13.9338
1800.01,12.8425
1809.96,11.3941
1819.96,9.6635
1829.96,7.7407
1840.01,5.7343
1850.03,3.8432
1860,2.1856
1870,0.9447
1879.96,0.2674
1889.95,0.2849
1899.97,1.1241
1910.03,2.7652
1919.99,5.2162
1930.01,8.3263
1939.99,11.9091
1950.04,15.894
1960,20.0135
1970.02,24.205
1979.95,28.3138
1990.02,32.2829
2000.04,36.0789
2009.96,39.5363
2019.95,42.6618
2030.02,45.5165
2040.03,48.054
2050.05,50.3012
2060.01,52.2992
2069.99,54.0598
2080,55.5806
2089.98,56.9074
2099.97,58.0208
2110.04,58.9513
2119.97,59.6844
2129.95,60.2812
2140.02,60.7242
2150.03,61.0344
2159.95,61.2009
2170.01,61.2326
2180.05,61.1529
2190.01,60.9429
2199.95,60.6161
2209.96,60.1689
2220,59.6125
2230.02,58.9504
2239.96,58.1524
2250.03,57.253
2260.03,56.2261
2270.02,55.0786
2279.96,53.8375
2289.98,52.4708
2299.96,51.0066
2309.96,49.4216
2320.02,47.6855
2330,45.8879
2339.99,43.961
2350.04,41.9002
2360,39.7987
2370.03,37.5709
2380.03,35.3203
2389.97,33.0248
2400.03,30.6308
2410.02,28.2334
2420.02,25.8449
2430.04,23.4286
2440.04,21.0723
2450.01,18.9431
2460,16.7079
2470.01,14.586
2480.04,12.5589
2490.09,10.6675
2499.92,9.0057
2509.98,7.4481
2520.03,6.0937
2530.07,5.0336
2540.09,3.9128
2550.09,3.1466
2560.06,2.4558
2570.01,1.9464
2579.93,1.6035
2590.07,1.3628
2599.98,1.226
2610.11,1.1677
2620.03,1.381
2629.97,1.4354
2639.93,1.7689
2649.91,2.0374
2659.91,2.2604
2669.93,2.6327
2679.95,2.9472
2689.99,3.2373
2700.01,3.7361
2710.03,4.0096
2720.02,4.4316
2730,4.7157
2739.94,4.9828
2750.09,5.196
2759.99,5.3373
2770.1,5.576
2779.98,5.7495
2790.09,5.8813
2799.98,6.0386
2810.11,6.2567
2820.03,6.2294
2829.98,6.2249
2839.95,6.27
2849.94,6.1558
2859.94,6.156
2869.94,5.9934
2879.94,5.7664
2889.93,5.646
2899.89,5.4158
2910.06,5.3671
2919.98,5.0693
2930.1,4.9552
2939.97,4.6307
2950.05,4.3434
2959.9,4.194
2969.98,3.8816
2980.06,3.7201
2989.93,3.3784
3000.05,3.1001
3009.97,2.8624
3019.91,2.6502
3030.09,2.5163
3040.06,2.2329
3050.03,1.847
3060,1.7197
3069.95,1.5184
3079.89,1.4229
3090.03,1.213
3099.92,1.0055
3110,0.805
3120.07,0.6951
3130.11,0.6122
3139.93,0.5093
3149.97,0.4267
3160.02,0.4104
3170.09,0.1307
3179.95,0.0515
3190.06,0.1539
3199.96,0.0768
3210.11,0.0365
3220.05,0.086
3229.98,0.0681
3239.92,0.1047
3250.07,0.0236
3259.97,0.1354
3270.07,0.2522
3279.92,0.0186
3289.97,0.1872
3300,0.2999
3310.01,0.3627
3320.02,0.3559
3330.02,0.4712
3340.04,0.4635
3350.07,0.6771
3359.9,0.6425
3369.98,0.5667
3380.07,0.6462
3389.96,0.8269
3400.09,0.8958
3409.99,1.0569
3420.11,0.9359
3430,1.0875
3440.09,1.2818
3449.93,1.2182
3459.96,1.1796
3469.97,1.2936
3479.96,1.1895
3489.94,1.296
3499.9,1.3145
3510.1,1.3054
3520.08,1.2992
3530.07,1.3941
3540.09,1.3837
3549.91,1.4326
3559.97,1.4509
3570.05,1.4042
3579.91,1.5106
3590,1.3231
3600.08,1.4722
3609.93,1.612
3619.98,1.2558
3630,1.3753
3639.99,1.3193
3649.96,1.3454
3659.91,1.2425
3670.06,1.3034
3679.99,1.288
3689.92,1.1707
3700.08,0.9898
3710.04,1.1394
3720.03,1.0264
3730.03,0.9262
3740.06,1.0165
3750.1,1.0973
3759.93,0.9813
3769.98,0.779
3780.02,0.855
3790.04,0.8871
3800.04,0.9547
3810.01,0.6174
3819.96,0.8436
3830.1,0.6967
3840,0.6824
3850.11,0.6119
3860,0.537
3870.11,0.4224
3880.02,0.4932
3889.94,0.5425
3900.11,0.4168
3910.08,0.3963
3920.07,0.3209
3930.08,0.4086
3940.08,0.3224
3950.09,0.4413
3960.08,0.534
3970.06,0.4197
3980.01,0.2293
3989.93,0.3465
4000.04,0.2583
