# Two-side-coated component: beam splitter run 260317-035 on the entrance face, antireflection run 260317-034 on the exit face, one polished silicon substrate. Reflectance at 45 degrees in s and p, in percent, acquisition 'BSplusAR260317-034-35' of 17 March 2026 16:38. Deposited as the example that exercises a two-sided sample; it is not one of the three components the article reports on.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
1500,80.033,50.78,65.406
1510,85.479,61.116,73.297
1520,89.238,69.201,79.219
1530,91.715,75.02,83.368
1540,93.291,78.988,86.14
1550,94.301,81.561,87.931
1560,94.921,83.214,89.068
1570,95.309,84.075,89.692
1580,95.52,84.265,89.893
1590,95.574,83.854,89.714
1600,95.498,82.823,89.16
1610,95.26,81.113,88.187
1620,94.792,78.531,86.661
1630,94.026,74.996,84.511
1640,92.961,70.567,81.764
1650,91.44,65.666,78.553
1660,89.499,61.178,75.339
1670,87.463,58.236,72.849
1680,85.937,57.284,71.61
1690,85.457,58.019,71.738
1700,85.824,59.558,72.691
1710,86.604,61.011,73.808
1720,87.262,61.836,74.549
1730,87.528,61.744,74.636
1740,87.248,60.616,73.932
1750,86.384,58.373,72.378
1760,84.602,54.959,69.781
1770,81.654,50.669,66.161
1780,76.972,45.956,61.464
1790,69.866,41.448,55.657
1800,61.331,38.367,49.849
1810,55.094,37.693,46.393
1820,55.555,39.607,47.581
1830,62.117,43.376,52.747
1840,70.425,48.115,59.27
1850,77.023,52.59,64.806
1860,81.534,56.393,68.963
1870,84.519,59.364,71.941
1880,86.546,61.7,74.123
1890,87.759,63.071,75.415
1900,88.59,63.98,76.285
1910,88.964,64.19,76.577
1920,89.102,63.952,76.527
1930,88.877,63.125,76.001
1940,88.491,62.108,75.299
1950,87.923,60.852,74.387
1960,87.144,59.405,73.274
1970,86.185,57.955,72.07
1980,85.121,56.664,70.893
1990,83.943,55.594,69.769
2000,82.755,54.764,68.759
2010,81.699,54.304,68.001
2020,80.807,54.252,67.529
2030,80.138,54.443,67.291
2040,79.51,54.726,67.118
2050,78.922,54.955,66.939
2060,78.567,55.267,66.917
2070,78.17,55.653,66.912
2080,77.575,55.614,66.594
2090,77.157,55.814,66.486
2100,76.248,55.473,65.86
2110,75.62,55.381,65.501
2120,74.541,54.828,64.684
2130,73.547,54.359,63.953
2140,72.601,53.854,63.228
2150,71.464,52.991,62.228
2160,70.482,52.14,61.311
2170,69.774,51.307,60.541
2180,69.338,50.465,59.902
2190,69.023,49.477,59.25
2200,68.976,48.408,58.692
2210,69.065,47.332,58.199
2220,69.371,46.185,57.778
2230,69.758,45.005,57.382
2240,70.14,43.725,56.933
2250,70.505,42.361,56.433
2260,70.827,40.966,55.896
2270,71.083,39.599,55.341
2280,71.192,38.25,54.721
2290,71.212,36.825,54.018
2300,71.13,35.528,53.329
2310,70.899,34.275,52.587
2320,70.522,33.059,51.791
2330,70.175,32.124,51.15
2340,69.66,31.269,50.465
2350,69.049,30.661,49.855
2360,68.527,30.328,49.427
2370,67.896,30.105,49
2380,67.401,30.202,48.801
2390,66.886,30.379,48.632
2400,66.474,30.753,48.613
2410,66.219,31.289,48.754
2420,65.936,31.788,48.862
2430,65.828,32.436,49.132
2440,65.952,33.113,49.532
2450,65.94,33.727,49.833
2460,66.048,34.202,50.125
2470,66.282,34.708,50.495
2480,66.574,35.093,50.834
2490.1,66.875,35.421,51.148
2499.9,67.113,35.636,51.374
2510,67.333,35.717,51.525
2520,67.573,35.721,51.647
2530.1,67.932,35.832,51.882
2540.1,68.431,35.655,52.043
2550.1,68.472,35.924,52.198
2560.1,68.978,35.695,52.337
2570,69.003,35.057,52.03
2579.9,68.691,35.231,51.961
2590.1,68.583,35.112,51.848
2600,68.763,34.951,51.857
2610.1,68.643,34.551,51.597
2620,68.689,34.38,51.534
2630,68.26,34.649,51.454
2639.9,67.898,34.599,51.248
2649.9,67.742,35.184,51.463
2659.9,67.398,35.512,51.455
2669.9,67.315,35.751,51.533
2680,67.382,35.512,51.447
2690,66.45,35.926,51.188
2700,66.284,36.301,51.293
2710,65.971,36.5,51.235
2720,65.693,36.957,51.325
2730,65.119,37.144,51.131
2739.9,64.79,37.612,51.201
2750.1,63.841,38.217,51.029
2760,63.653,38.192,50.923
2770.1,63.09,38.295,50.693
2780,62.658,38.904,50.781
2790.1,62.088,38.834,50.461
2800,61.68,38.863,50.271
2810.1,61.469,38.756,50.113
2820,61.088,38.953,50.02
2830,60.504,39.421,49.962
2840,60.455,38.463,49.459
2849.9,60.536,38.421,49.478
2859.9,60.148,38.594,49.371
2869.9,60.409,38.249,49.329
2879.9,60.06,38.199,49.129
2889.9,60.122,38.249,49.185
2899.9,60.343,38.36,49.352
2910.1,60.814,37.822,49.318
2920,60.79,37.621,49.206
2930.1,61.178,37.572,49.375
2940,61.292,37.261,49.277
2950,61.646,37.311,49.478
2959.9,61.91,37.687,49.799
2970,62.537,36.89,49.713
2980.1,62.657,36.83,49.743
2989.9,62.935,36.788,49.862
3000,63.426,36.787,50.106
3010,63.507,36.82,50.163
3019.9,63.97,36.82,50.395
3030.1,64.576,36.879,50.727
3040.1,64.635,36.685,50.66
3050,64.785,36.999,50.892
3060,65.173,36.75,50.961
3070,64.653,37.026,50.84
3079.9,65.165,37.11,51.138
3090,64.861,37.241,51.051
3099.9,64.843,37.332,51.087
3110,64.97,37.318,51.144
3120.1,64.64,37.148,50.894
3130.1,64.677,37.315,50.996
3139.9,64.66,37.299,50.979
3150,64.659,37.233,50.946
3160,64.425,36.883,50.654
3170.1,64.267,36.751,50.509
3180,63.842,36.811,50.326
3190.1,63.38,36.29,49.835
3200,63.734,36.465,50.099
3210.1,63.707,36.279,49.993
3220,63.418,35.861,49.64
3230,63.121,35.711,49.416
3239.9,63.189,35.466,49.327
3250.1,63.341,34.996,49.169
3260,63.364,35.104,49.234
3270.1,63.392,34.25,48.821
3279.9,63.874,34.258,49.066
3290,63.559,33.867,48.713
3300,63.443,33.628,48.536
3310,64.22,33.68,48.95
3320,63.638,32.87,48.254
3330,63.863,32.223,48.043
3340,64.233,32.194,48.214
