# Seventeen-layer beam splitter for 45 degrees, run 260319-037, on silicon with the rear face ground. Reflectance at 45 degrees in s and p, in percent. EssentOptics PHOTON RT SN 38425, 220 um slit, 5 mm spot, stage 45 degrees, detector 90, 1000-4000 nm at a 5 nm pitch, 20 averages, the two polarizations run separately. The analysis band of the study is 1500-4000 nm, one and the same for every sample of the campaign.
Wavelength_nm,R_s_pct,R_p_pct
1000.02,83.48706032,61.74919208
1005.05,82.38879075,61.89205884
1009.96,78.54590933,58.88880209
1014.98,70.63347687,52.70804275
1020,59.40770661,44.10095427
1025.01,50.9922102,35.52853147
1030.03,51.40073365,30.15859542
1035.04,58.79828505,29.26980367
1040.06,65.63804976,30.5875426
1044.96,68.25197148,30.85713276
1049.98,66.70254816,28.4785871
1055.01,62.00238204,24.59850999
1060.04,57.77415163,23.09907419
1064.95,58.87453991,27.7289204
1069.99,65.92567866,38.23164894
1075.02,74.28998022,49.93722893
1080.05,80.33327296,59.13886462
1084.96,83.54163508,64.61427192
1089.99,84.82875927,67.07169213
1095.01,84.52747447,66.58156787
1100.02,82.57367415,63.09196112
1105.03,78.17597399,55.90675179
1110.04,69.64645045,44.19374409
1115.04,54.38116135,28.7598435
1120.04,33.00914864,14.10914865
1125.04,14.47042601,6.929491283
1130.05,8.944690753,9.570446765
1135.05,16.20344153,17.49776771
1139.95,25.96582848,24.40812316
1144.96,30.92081582,27.24898226
1149.97,28.93503507,25.02834925
1154.99,21.09907621,18.37341259
1160.01,11.69933623,10.03741284
1165.03,7.561212752,4.701960473
1170.05,13.85005289,6.82766817
1174.95,28.23868744,16.3875197
1179.97,44.29798494,29.56844983
1184.97,56.57577068,41.41836836
1189.98,64.19439285,49.60206445
1194.98,68.18973576,54.15542978
1199.97,69.39155803,55.4412116
1204.96,68.03565108,53.68361768
1209.95,63.81545473,48.68397436
1215.05,55.73601876,40.17850583
1220.04,43.74717987,29.61252757
1225.03,30.10154524,19.8899225
1230.03,21.82570856,15.70721834
1235.03,24.84526655,19.52769215
1240.03,37.23661514,29.27995732
1245.04,51.18116122,40.24822785
1250.05,61.72973924,49.04226658
1255.05,68.43508079,54.77630152
1259.95,71.97808813,57.63729174
1264.95,73.36501403,58.02580988
1269.95,72.82005132,55.9499464
1274.95,70.34081157,51.28956034
1280.05,65.26741215,43.65888852
1285.04,56.91691872,33.44064254
1290.02,44.27964952,21.72613802
1295,28.72966585,11.37852953
1299.98,15.17871251,6.02150088
1304.95,10.01543115,7.437780872
1310.04,15.55507352,14.30225251
1315.02,27.53954123,22.99221564
1320.01,39.62326951,30.63003073
1324.99,48.32639631,35.83626627
1329.98,53.21401178,38.20040456
1334.97,54.70998336,37.72765889
1339.97,53.11193134,34.56320972
1344.96,48.18731943,28.81942481
1349.96,39.59189295,20.99027088
1354.95,27.64764625,12.56593234
1360.05,15.0785908,5.872795502
1365.04,7.534721588,3.625065155
1370.01,8.784103206,6.660332825
1374.99,18.57458227,13.98564822
1379.96,32.58418723,23.31268514
1385.04,46.15492301,32.66506874
1390,55.89873526,39.92676004
1394.97,62.43721428,45.04179305
1400.04,66.46996766,48.14857276
1405.01,68.34694174,49.2257413
1409.98,68.49840444,48.4436079
1414.95,66.94660482,45.82936882
1420.04,63.4301262,41.14880906
1425.02,57.60177356,34.68930316
1430,48.81763661,26.66313105
1434.98,37.11570782,17.86715244
1439.97,24.69957247,10.11487512
1444.95,15.88198762,5.386615087
1450.03,14.67727828,5.136860596
1455.01,21.48377048,9.124517107
1459.97,32.99710685,15.90126407
1464.99,47.22461903,25.2765698
1470.01,56.43930663,32.26921694
1475.05,62.84313073,37.68020188
1479.99,66.86834195,41.30043771
1484.95,69.19563055,43.28825326
1490.04,70.09400979,43.73254024
1495.04,69.68529233,42.65372029
1500.05,68.03340824,40.11784435
1504.96,64.99402541,36.30621739
1509.98,60.06655017,31.06881113
1515,52.80789523,24.80245984
1520,42.95661262,18.0482702
1524.98,30.97434364,11.73744334
1529.95,18.72158418,6.995040865
1535,8.976070342,4.562745999
1540.04,5.1672742,4.875558555
1545.05,8.293578365,7.612805453
1549.95,16.29706601,11.85274407
1554.95,26.17196229,16.74679048
1559.95,35.26636311,21.35024946
1564.97,42.33870119,25.11859879
1570,47.13990702,27.72372619
1575.05,49.85904033,29.06805726
1580.01,50.65570317,29.12517912
1584.99,49.72851611,27.92961169
1589.98,47.05738023,25.57940504
1594.98,42.53898047,22.18107061
1599.99,36.05685853,17.95331309
1604.98,27.80628241,13.24546364
1609.97,18.67356304,8.690895219
1615.05,10.29847412,4.98856445
1619.99,5.082891949,2.975310761
1625.03,4.433929291,2.940887292
1630.04,8.853826119,5.042780054
1635.03,16.81587988,8.866768124
1640.02,26.23104861,13.80750423
1645,35.26795432,19.11922409
1649.98,42.86909771,24.16234852
1654.98,48.7576963,28.60125029
1659.99,52.93616566,32.149744
1665.03,55.55824163,34.76305272
1669.97,56.7879274,36.30898964
1675.04,56.78975552,36.86897264
1680.02,55.59688396,36.47707931
1685,53.09747679,35.14165368
1689.98,49.22244723,32.84373438
1694.96,43.85299821,29.6388469
1700.03,36.95566811,25.53188214
1704.98,29.24558117,20.93186974
1710.01,21.36442351,15.89373018
1715.03,15.01269824,10.93613426
1720.02,11.88920248,6.668501007
1724.99,12.81823753,3.6034545
1729.95,17.50011571,2.212840714
1735.03,24.9389657,2.671324853
1739.99,33.13926317,4.841060951
1744.97,40.9118347,8.273643623
1749.96,47.42792987,12.47433988
1754.98,52.43734749,16.83161651
1760.02,55.9892735,20.89308691
1764.96,58.19220597,24.28946439
1770.03,59.24704413,26.99991007
1774.99,59.10007791,28.83524985
1779.95,57.72050032,29.78718529
1785.02,54.90141116,29.81703164
1789.96,50.57509753,28.92186644
1794.99,44.29455892,27.10552595
1800.01,35.97897975,24.41736041
1804.99,26.29331553,20.92567553
1809.96,16.99065517,16.84080223
1815.02,10.75932012,12.40591712
1819.96,10.00137149,8.274710222
1825.01,15.48724629,4.830607175
