# Seventeen-layer 50/50 beam splitter, run 260317-035, on double-side polished silicon. Reflectance at 45 degrees in s and p. R_a is the half-sum, which is what an unpolarized measurement returns and what this study inverts; it is rigorously invariant under a symmetric mixing of the two channels.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
1000.02,84.63136393,62.59513545,73.61324969
1005.05,83.51658558,62.73835475,73.12747016
1009.96,79.61994176,59.69743198,69.65868687
1014.98,71.60413469,53.42819562,62.51616516
1020,60.22650258,44.69878614,52.46264436
1025.01,51.68597174,36.01067978,43.84832576
1030.03,52.10088153,30.56895068,41.33491611
1035.04,59.59979125,29.66725808,44.63352466
1040.06,66.54016966,31.00517369,48.77267167
1044.96,69.18739617,31.27645365,50.23192491
1049.98,67.61547381,28.86375924,48.23961653
1055.01,62.84782912,24.93297548,43.8904023
1060.04,58.5667704,23.41076799,40.9887692
1064.95,59.67986493,28.10796501,43.89391497
1069.99,66.8296303,38.75441249,52.79202139
1075.02,75.30486969,50.62433846,62.96460408
1080.05,81.43154807,59.94901082,70.69027944
1084.96,84.686698,65.49519108,75.09094454
1089.99,85.99642934,67.99097354,76.99370144
1095.01,85.69189009,67.49175543,76.59182276
1100.02,83.71049306,63.95278436,73.83163871
1105.03,79.24507661,56.67163641,67.95835651
1110.04,70.60174472,44.79544944,57.69859708
1115.04,55.12782277,29.15158526,42.13970402
1120.04,33.46081806,14.29981423,23.88031614
1125.04,14.66039065,7.017648363,10.83901951
1130.05,9.067819953,9.696786774,9.382303364
1135.05,16.41721895,17.73170378,17.07446137
1139.95,26.31556811,24.7393241,25.5274461
1144.96,31.34045476,27.61977578,29.48011527
1149.97,29.33116017,25.36713958,27.34914988
1154.99,21.38647937,18.62023417,20.00335677
1160.01,11.85441645,10.17554525,11.01498085
1165.03,7.655520867,4.759420259,6.207470563
1170.05,14.03813328,6.917770489,10.47795189
1174.95,28.61876172,16.60374163,22.61125167
1179.97,44.90757725,29.97476972,37.44117349
1184.97,57.35245758,41.98444754,49.66845256
1189.98,65.07537162,50.28220897,57.6787903
1194.98,69.12446495,54.89240606,62.00843551
1199.97,70.33905512,56.20313979,63.27109745
1204.96,68.9723476,54.41517946,61.69376353
1209.95,64.69399461,49.35241445,57.02320453
1215.05,56.49514412,40.72626855,48.61070633
1220.04,44.3406578,30.0192295,37.17994365
1225.03,30.50767595,20.16252156,25.33509875
1230.03,22.11785103,15.9157082,19.01677961
1235.03,25.18499934,19.79164554,22.48832244
1240.03,37.74095675,29.67544824,33.70820249
1245.04,51.88305252,40.79365195,46.33835223
1250.05,62.57925886,49.71012241,56.14469064
1255.05,69.37736276,55.52690421,62.45213348
1259.95,72.97,58.42222272,65.69611136
1264.95,74.37078901,58.81756494,66.59417697
1269.95,73.82133819,56.71792445,65.26963132
1274.95,71.30289691,51.98721231,61.64505461
1280.05,66.15864432,44.25250285,55.20557359
1285.04,57.69577211,33.90104069,45.7984064
1290.02,44.88693846,22.01808141,33.45250993
1295,29.11803628,11.53244509,20.32524069
1299.98,15.38295618,6.102668318,10.74281225
1304.95,10.14963265,7.537827318,8.843729984
1310.04,15.76147423,14.49715558,15.12931491
1315.02,27.91044565,23.30448316,25.6074644
1320.01,40.1663476,31.04472484,35.60553622
1324.99,48.99027563,36.32686856,42.65857209
1329.98,53.94135673,38.71954373,46.33045023
1334.97,55.45618159,38.2447685,46.85047504
1339.97,53.83541127,35.03739206,44.43640167
1344.96,48.84449679,29.21619175,39.03034427
1349.96,40.13389258,21.27072957,30.70231107
1354.95,28.02,12.73236029,20.37618014
1360.05,15.2862619,5.946888132,10.61657502
1365.04,7.633941818,3.671842596,5.652892207
1370.01,8.898622612,6.745510453,7.822066532
1374.99,18.83007812,14.16992104,16.49999958
1379.96,33.0310768,23.63017718,28.33062699
1385.04,46.78341855,33.1062247,39.94482163
1390,56.66243386,40.47010317,48.56626851
1394.97,63.28959841,45.66020295,54.47490068
1400.04,67.37709449,48.80812232,58.09260841
1405.01,69.2797874,49.90207942,59.59093341
1409.98,69.43884724,49.11019977,59.27452351
1414.95,67.86520885,46.45177823,57.15849354
1420.04,64.29662772,41.71484543,53.00573657
1425.02,58.38810767,35.16187791,46.77499279
1430,49.48488216,27.02484224,38.2548622
1434.98,37.61991642,18.110163,27.86503971
1439.97,25.03625159,10.24846514,17.64235837
1444.95,16.09998273,5.458480932,10.77923183
1450.03,14.87876101,5.207096127,10.04292857
1455.01,21.77846785,9.250209071,15.51433846
1459.97,33.44721669,16.11874629,24.78298149
1464.99,47.8666361,25.61703385,36.74183497
1470.01,57.20920437,32.71116116,44.96018276
1475.05,63.70643447,38.19777853,50.9521065
1479.99,67.78713529,41.86459365,54.82586447
1484.95,70.14083863,43.88142301,57.01113082
1490.04,71.05666519,44.33053454,57.69359987
1495.04,70.64272201,43.23292816,56.93782508
1500.05,68.96235674,40.66726759,54.81481217
1504.96,65.88102916,36.80331574,51.34217245
1509.98,60.88859396,31.49435996,46.19147696
1515,53.53053488,25.14328437,39.33690963
1520,43.54495001,18.28815128,30.91655064
1524.98,31.39769063,11.89637337,21.647032
1529.95,18.97367074,7.086780966,13.03022585
1535,9.092093122,4.624097187,6.858095155
1540.04,5.238172672,4.938096623,5.088134647
1545.05,8.402480631,7.711747885,8.057114258
1549.95,16.51980156,12.00646102,14.26313129
1554.95,26.53124565,16.97284115,21.7520434
1559.95,35.74289275,21.63930498,28.69109887
1564.97,42.91386289,25.4618197,34.18784129
1570,47.78927277,28.10083027,37.94505152
1575.05,50.54570208,29.46488669,40.00529439
1580.01,51.34660174,29.52162977,40.43411575
1584.99,50.40443606,28.31226648,39.35835127
1589.98,47.70329777,25.92299939,36.81314858
1594.98,43.11995396,22.48643344,32.8031937
1599.99,36.54600549,18.19729507,27.37165028
1604.98,28.17978418,13.42568795,20.80273606
1609.97,18.92354896,8.810292645,13.8669208
1615.05,10.43127654,5.052458254,7.741867399
1619.99,5.147358712,3.014118232,4.080738472
1625.03,4.487351367,2.972678236,3.730014802
1630.04,8.968101198,5.11068003,7.039390614
1635.03,17.03891164,8.982679057,13.01079535
1640.02,26.58720273,13.99051161,20.28885717
1645,35.74755376,19.37657892,27.56206634
1649.98,43.45895362,24.48862288,33.97378825
1654.98,49.42236467,28.9877341,39.20504939
1659.99,53.66020067,32.58790512,43.1240529
1665.03,56.31994034,35.23415451,45.77704743
1669.97,57.57,36.80204864,47.18602432
1675.04,57.57219791,37.37517449,47.4736862
1680.02,56.35899683,36.97688721,46.66794202
1685,53.82909538,35.62500455,44.72704997
1689.98,49.8975264,33.28976188,41.59364414
1694.96,44.44885201,30.04643442,37.24764321
1700.03,37.46115154,25.8828978,31.67202467
1704.98,29.63940778,21.2142831,25.42684544
1710.01,21.65656401,16.10531535,18.88093968
1715.03,15.21490164,11.08109416,13.1479979
1720.02,12.04969277,6.752703738,9.401198254
1724.99,12.9916719,3.647025312,8.319348606
1729.95,17.73505294,2.235464969,9.985258954
1735.03,25.27423583,2.707297073,13.99076645
1739.99,33.59454985,4.903644039,19.24909695
1744.97,41.46926675,8.383001105,24.92613393
