# Single-layer SiO2 reference single layer on double-side-polished sapphire, same deposition campaign as the components, deposited less than one week before them with no target change or chamber reconditioning in between -- which is the condition that makes the transferability test legitimate. Transmittance relative to the bare substrate at normal incidence, as a fraction. Thickness determined in Volet 1: 1681.7 nm.
Wavelength_nm,Trel
249.99,0.933999
251.01,0.944083
251.99,0.944942
253,0.936595
254.01,0.921884
254.99,0.905358
256.01,0.891175
256.99,0.884425
258,0.885471
259,0.894822
259.99,0.908839
261.01,0.925744
261.99,0.941521
263,0.953513
264.01,0.959315
265,0.958685
266.01,0.952066
266.99,0.943428
268.01,0.935282
269,0.930093
270.01,0.929626
271,0.935284
272,0.94706
273,0.964504
274.01,0.985217
274.99,1.00255
276,1.01516
277,1.02141
278.01,1.02058
279,1.01438
280.01,1.00375
281,0.99216
282,0.982451
283.01,0.976538
284,0.975687
285.01,0.980195
285.99,0.988756
287,1.00045
288.01,1.01285
288.99,1.02527
289.99,1.03631
291.01,1.04512
292,1.04954
293,1.04751
294.01,1.0398
295.01,1.02762
296,1.01468
297.01,1.00279
298.01,0.995302
299.01,0.991341
299.99,0.991184
301,0.994743
301.99,1.00115
303,1.01141
304.01,1.02376
305.01,1.03597
306,1.04724
306.99,1.05556
308,1.05942
309,1.05858
310.01,1.05292
310.99,1.0451
312,1.03526
312.99,1.02541
314.01,1.01649
314.99,1.00836
316.01,1.00235
316.99,0.998172
318.01,0.996866
318.99,0.998738
320,1.00488
321,1.01458
321.99,1.02622
323,1.03908
324.01,1.05008
325,1.05811
326.01,1.0631
327,1.06354
328,1.06059
329.01,1.05548
330.01,1.04975
331.01,1.04214
331.99,1.03535
332.99,1.02571
334,1.0186
335,1.01187
335.99,1.00575
337,0.999856
338,0.998108
339.01,0.999524
340.01,1.00372
341,1.01112
342,1.02171
343,1.03292
344,1.04251
344.99,1.05243
345.99,1.05873
347,1.06264
348,1.06396
349.01,1.06265
350,1.05969
351,1.05608
351.99,1.05123
352.99,1.0458
353.99,1.03911
354.99,1.03247
355.99,1.02463
357,1.01703
357.99,1.00946
359,1.00426
360,1.00092
360.99,0.99789
362,0.998921
362.99,1.0032
364,1.0087
364.99,1.01636
366.01,1.02709
367.01,1.03477
368,1.0435
369.01,1.05225
369.99,1.05726
370.99,1.06112
372,1.06218
372.99,1.06317
374,1.06241
374.99,1.05998
375.99,1.05711
377.02,1.05457
378,1.04938
378.98,1.04102
380.01,1.03449
380.99,1.02701
382.03,1.0201
383.01,1.01523
384,1.00909
384.98,1.00644
386.02,1.00233
387.01,1.0026
388,1.00326
388.98,1.00492
390.03,1.00687
391.01,1.01108
392,1.01457
392.98,1.02053
394.03,1.02717
395.01,1.03467
396,1.04044
396.98,1.04619
398.02,1.05314
399,1.05701
399.98,1.06226
401.02,1.06412
401.99,1.06513
403.03,1.06513
404,1.06412
404.98,1.06231
406,1.05752
406.98,1.05273
408,1.04775
409.03,1.04188
410,1.03543
411.02,1.02904
411.99,1.02258
413.01,1.01726
413.98,1.01232
415,1.00878
416.03,1.00502
416.99,1.0027
418.02,1.0018
418.99,1.00142
420.01,1.00238
420.99,1.0038
422.01,1.00621
422.99,1.00957
424.02,1.01419
424.99,1.01908
426.03,1.02415
427.01,1.02943
427.98,1.03509
429.02,1.04061
430,1.0458
430.99,1.05123
432.03,1.05564
433.01,1.05936
433.99,1.06242
434.98,1.06423
436.02,1.06516
437,1.06537
437.99,1.06411
439.03,1.06245
440.01,1.05934
441,1.05646
441.98,1.05221
443.02,1.04715
444,1.04258
444.98,1.03722
446.01,1.03181
446.99,1.02647
448.02,1.02147
448.99,1.01667
450.02,1.01247
451,1.00861
452.02,1.00603
452.99,1.00305
454.02,1.0013
454.98,1.00049
456.01,1.00033
457.03,1.00086
457.99,1.00197
459.01,1.00439
459.98,1.00664
461,1.00989
462.02,1.01329
462.99,1.01728
464.01,1.02164
464.98,1.02584
466,1.0308
467.03,1.03547
468,1.03969
469.03,1.04445
470,1.04837
471.03,1.05227
472,1.05562
472.98,1.05847
474.01,1.06101
474.99,1.06282
476.03,1.06406
477.01,1.06481
477.99,1.0645
479.03,1.06368
480.01,1.06247
480.99,1.06044
481.98,1.05797
483.02,1.05474
484,1.05146
484.98,1.04777
486.02,1.04356
487,1.03918
487.98,1.03494
489.02,1.03041
489.99,1.02609
491.03,1.02162
492,1.01764
492.98,1.01424
494.01,1.01081
494.98,1.00784
496,1.00537
497.03,1.00325
498,1.00191
499.02,1.001
499.99,1.00038
501.01,1.00051
502.03,1.00093
502.99,1.00198
504.01,1.00344
505.03,1.0054
505.99,1.00775
507.01,1.01041
508.03,1.01359
508.99,1.01681
510.01,1.02044
510.98,1.02396
512,1.02778
513.03,1.03179
513.99,1.03553
515.02,1.03942
515.99,1.04288
517.02,1.04665
517.99,1.04982
519.02,1.0529
520,1.05582
521.03,1.05844
522.01,1.06029
522.99,1.06199
524.02,1.06337
525,1.06403
525.98,1.06457
527.02,1.0645
528,1.06397
528.98,1.06324
530.02,1.0619
531,1.06026
531.98,1.0583
533.01,1.05591
533.99,1.05312
535.02,1.04999
536,1.04686
537.03,1.04325
538,1.03976
539.03,1.03602
540,1.03251
541.02,1.0288
541.99,1.02538
543.01,1.02199
543.98,1.01899
545,1.01605
546.02,1.01334
546.98,1.01086
548,1.00854
549.02,1.00662
549.98,1.00488
550.99,1.00358
552.01,1.0024
553.03,1.00148
553.99,1.00111
555,1.00086
556.02,1.00097
556.99,1.00133
558.01,1.00205
559.03,1.00313
559.99,1.00441
561.02,1.00598
561.99,1.00767
563.01,1.00989
563.98,1.01218
565.01,1.01467
565.99,1.01744
567.02,1.02016
567.99,1.02299
569.03,1.02604
570,1.02904
570.98,1.03211
572.01,1.03508
572.99,1.03814
574.03,1.0413
575,1.04414
575.98,1.04681
577.02,1.04959
577.99,1.05207
579.02,1.05454
580,1.05655
581.03,1.05855
582,1.0602
583.03,1.0616
584,1.0627
585.02,1.06348
585.99,1.064
587.01,1.06423
587.98,1.06415
589,1.06388
590.02,1.06326
590.98,1.06236
591.99,1.06128
593.01,1.05994
594.02,1.05835
594.98,1.05653
596,1.05461
597.01,1.05241
598.02,1.05006
598.98,1.04766
600,1.0451
600,1.04502
604.01,1.03368
607.98,1.02224
612.03,1.01195
615.98,1.00479
619.99,1.00071
624,1.00001
628,1.00242
631.98,1.00733
635.99,1.01464
639.98,1.02347
644.03,1.03318
648.02,1.04239
652.03,1.05078
656,1.05745
660,1.06184
664,1.06344
668,1.06264
671.99,1.05918
676.02,1.05358
680.03,1.04654
684.01,1.03824
687.99,1.02977
692.03,1.02179
696.02,1.01436
699.98,1.00833
704.01,1.0038
708,1.00113
711.99,1.0004
716.03,1.0014
719.99,1.00425
724,1.00854
727.98,1.01452
732,1.02118
736.02,1.02862
740,1.03614
743.99,1.04358
748,1.05058
751.98,1.05618
756.01,1.06033
759.99,1.0627
764,1.06366
768,1.06297
772.03,1.06108
775.98,1.05785
779.99,1.05368
784,1.04859
787.98,1.04279
791.98,1.03684
795.99,1.03057
800.01,1.02467
804.03,1.01905
807.98,1.0141
