# Single-layer Nb2O5 witness on double-side polished sapphire, same deposition campaign as the components, less than one week apart, no target change or chamber reconditioning in between. Transmittance relative to the bare substrate at normal incidence, as a fraction. Reproduced from the Volet 1 deposit.
Wavelength_nm,Trel
350,0.289104
350.51,0.31061
351,0.32145
351.5,0.334366
351.99,0.344026
352.49,0.345724
352.99,0.351064
353.49,0.357141
353.99,0.366723
354.49,0.381712
354.99,0.399299
355.49,0.426488
355.99,0.454912
356.5,0.487245
357,0.517029
357.49,0.552098
357.99,0.573225
358.51,0.577976
359,0.581074
359.49,0.57114
360,0.560074
360.51,0.548498
360.99,0.541667
361.5,0.539281
362,0.546048
362.5,0.559614
362.99,0.583954
363.51,0.619238
364,0.659247
364.51,0.705111
364.99,0.74725
365.51,0.776291
366.01,0.791337
366.5,0.789748
367.01,0.77671
367.49,0.752389
368,0.717885
368.49,0.693491
369.01,0.670049
369.5,0.658596
369.99,0.653087
370.49,0.657268
370.99,0.672497
371.49,0.692503
372,0.726609
372.51,0.755161
372.99,0.79794
373.51,0.836194
374,0.870397
374.49,0.895895
374.99,0.916499
375.48,0.928575
375.99,0.903937
376.51,0.880914
377.02,0.850123
377.48,0.825114
378,0.789972
378.52,0.763894
378.98,0.73981
379.5,0.716198
380.01,0.709435
380.53,0.71038
380.99,0.725907
381.51,0.732552
382.03,0.758645
382.49,0.78853
383.01,0.819003
383.48,0.846637
384,0.883753
384.52,0.919397
384.98,0.945473
385.5,0.960571
386.02,0.957561
386.49,0.96187
387.01,0.945386
387.53,0.91853
388,0.885846
388.52,0.852642
388.98,0.831996
389.5,0.800014
390.03,0.776547
390.49,0.758638
391.01,0.753301
391.48,0.743181
392,0.743292
392.52,0.740585
392.98,0.751478
393.51,0.772363
394.03,0.794823
394.49,0.826456
395.01,0.854025
395.48,0.882625
396,0.917734
396.52,0.945034
396.98,0.967393
397.5,0.979939
398.02,0.984334
398.48,0.980987
399,0.970299
399.52,0.943284
399.98,0.920842
400.5,0.893469
401.02,0.86005
401.48,0.843389
401.99,0.820409
402.51,0.791133
403.03,0.774897
403.49,0.764993
404,0.753708
404.52,0.751745
404.98,0.752356
405.49,0.757649
406,0.773275
406.52,0.788688
406.98,0.806371
407.49,0.828685
408,0.85863
408.52,0.883203
409.03,0.9102
409.48,0.93175
410,0.954249
410.51,0.974802
411.02,0.985172
411.48,0.994168
411.99,0.991848
412.5,0.981961
413.01,0.966382
413.52,0.948719
413.98,0.925947
414.49,0.898269
415,0.874497
415.51,0.849155
416.03,0.827267
416.48,0.810928
416.99,0.793072
417.51,0.778981
418.02,0.768044
418.53,0.76588
418.99,0.763062
419.5,0.762173
420.01,0.769931
420.53,0.779637
420.99,0.787635
421.5,0.804623
422.01,0.82213
422.53,0.845758
422.99,0.865016
423.5,0.889144
424.02,0.91179
424.48,0.931178
424.99,0.954327
425.51,0.970283
426.03,0.981671
426.49,0.992022
427.01,0.995782
427.52,0.993353
427.98,0.984954
428.5,0.975621
429.02,0.957007
429.48,0.940769
430,0.919304
430.52,0.896003
430.99,0.877577
431.51,0.857063
432.03,0.838462
432.49,0.822153
433.01,0.806852
433.53,0.794522
433.99,0.784862
434.51,0.777415
434.98,0.7723
435.5,0.771554
436.02,0.774329
436.48,0.776148
437,0.783838
437.53,0.794068
437.99,0.804695
438.51,0.818643
439.03,0.834641
439.49,0.852929
440.01,0.873232
440.48,0.890899
441,0.910783
441.52,0.931988
441.98,0.947599
442.5,0.963168
443.02,0.976385
443.48,0.986604
444,0.991442
444.52,0.995883
444.98,0.994863
445.49,0.990545
446.01,0.979194
446.53,0.965952
446.99,0.951775
447.5,0.936315
448.02,0.919982
448.48,0.901644
448.99,0.883382
449.51,0.864867
450.02,0.84778
450.48,0.833584
451,0.819652
451.51,0.806782
452.02,0.79649
452.48,0.789821
452.99,0.785157
453.5,0.780634
454.02,0.779727
454.53,0.781269
454.98,0.782758
455.49,0.789954
456.01,0.794531
